number,leg,dartScore,bed,aimedat,sB4Dart,sAfDart,average
1,1,60,t20,t20,501,441,105.94
2,1,20,i20,t20,441,421,105.94
3,1,17,i17,t17,421,404,105.94
4,1,5,o5,t20,404,399,105.94
5,1,60,t20,t20,399,339,105.94
6,1,60,t20,t20,339,279,105.94
7,1,60,t20,t20,279,219,105.94
8,1,20,i20,t20,219,199,105.94
9,1,57,t19,t19,199,142,105.94
10,1,17,i17,t17,142,125,105.94
11,1,51,t17,t17,125,74,105.94
12,1,42,t14,t14,74,32,105.94
13,1,16,o16,d16,32,16,105.94
14,1,0,m8,d8,16,16,105.94
15,1,16,d8,d8,16,0,105.94
16,2,20,i20,t20,501,481,105.94
17,2,57,t19,t19,481,424,105.94
18,2,57,t19,t19,424,367,105.94
19,2,60,t20,t20,367,307,105.94
20,2,60,t20,t20,307,247,105.94
21,2,20,o20,t20,247,227,105.94
22,2,60,t20,t20,227,167,105.94
23,2,5,o5,t20,167,162,105.94
24,2,60,t20,t20,162,102,105.94
25,2,60,t20,t20,102,42,105.94
26,2,2,o2,o2,42,40,105.94
27,2,20,o20,d20,40,20,105.94
28,3,60,t20,t20,501,441,105.94
29,3,60,t20,t20,441,381,105.94
30,3,20,i20,t20,381,361,105.94
31,3,60,t20,t20,361,301,105.94
32,3,60,t20,t20,301,241,105.94
33,3,60,t20,t20,241,181,105.94
34,3,20,o20,t20,181,161,105.94
35,3,15,t5,t20,161,146,105.94
36,3,3,t1,t20,146,143,105.94
37,3,20,i20,t20,143,123,105.94
38,3,57,t19,t19,123,66,105.94
39,3,25,obull,ibull,66,41,105.94
40,3,1,o1,o1,41,40,105.94
41,3,40,d20,d20,40,0,105.94
42,4,60,t20,t20,501,441,105.94
43,4,60,t20,t20,441,381,105.94
44,4,57,t19,t19,381,324,105.94
45,4,60,t20,t20,324,264,105.94
46,4,60,t20,t20,264,204,105.94
47,4,60,t20,t20,204,144,105.94
48,4,60,t20,t20,144,84,105.94
49,4,1,i1,t20,84,83,105.94
50,4,51,t17,t17,83,32,105.94
51,5,60,t20,t20,501,441,105.94
52,5,20,i20,t20,441,421,105.94
53,5,60,t20,t20,421,361,105.94
54,5,20,o20,t20,361,341,105.94
55,5,60,t20,t20,341,281,105.94
56,5,60,t20,t20,281,221,105.94
57,5,20,o20,t20,221,201,105.94
58,5,60,t20,t20,201,141,105.94
59,5,60,t20,t20,141,81,105.94
60,5,19,i19,t19,81,62,105.94
61,5,36,t12,t12,62,26,105.94
62,5,0,m13,d13,26,26,105.94
63,5,26,d13,d13,26,0,105.94
64,6,60,t20,t20,501,441,105.94
65,6,15,t5,t20,441,426,105.94
66,6,5,i5,t20,426,421,105.94
67,6,60,t20,t20,421,361,105.94
68,6,20,i20,t20,361,341,105.94
69,6,57,t19,t19,341,284,105.94
70,6,60,t20,t20,284,224,105.94
71,6,60,t20,t20,224,164,105.94
72,6,60,t20,t20,164,104,105.94
73,6,20,o20,t20,104,84,105.94
74,6,20,i20,t20,84,64,105.94
75,6,16,o16,t16,64,48,105.94
76,7,20,i20,t20,501,481,105.94
77,7,18,o18,t18,481,463,105.94
78,7,54,t18,t18,463,409,105.94
79,7,60,t20,t20,409,349,105.94
80,7,20,i20,t20,349,329,105.94
81,7,57,t19,t19,329,272,105.94
82,7,20,i20,t20,272,252,105.94
83,7,57,t19,t19,252,195,105.94
84,7,19,i19,t19,195,176,105.94
85,7,60,t20,t20,176,116,105.94
86,7,60,t20,t20,116,56,105.94
87,7,16,o16,o16,56,40,105.94
88,7,40,d20,d20,40,0,105.94
89,8,20,i20,t20,501,481,105.94
90,8,60,t20,t20,481,421,105.94
91,8,19,o19,t19,421,402,105.94
92,8,60,t20,t20,402,342,105.94
93,8,3,t1,t20,342,339,105.94
94,8,60,t20,t20,339,279,105.94
95,8,20,i20,t20,279,259,105.94
96,8,19,i19,t19,259,240,105.94
97,8,19,o19,t19,240,221,105.94
98,8,15,t5,t20,221,206,105.94
99,8,60,t20,t20,206,146,105.94
100,8,60,t20,t20,146,86,105.94
101,8,18,i18,t18,86,68,105.94
102,8,18,o18,t18,68,50,105.94
103,8,50,ibull,ibull,50,0,105.94
104,9,20,o20,t20,501,481,105.94
105,9,60,t20,t20,481,421,105.94
106,9,60,t20,t20,421,361,105.94
107,9,20,o20,t20,361,341,105.94
108,9,20,i20,t20,341,321,105.94
109,9,20,o20,t20,321,301,105.94
110,9,20,i20,t20,301,281,105.94
111,9,20,i20,t20,281,261,105.94
112,9,3,i3,t17,261,258,105.94
113,9,20,i20,t20,258,238,105.94
114,9,54,t18,t18,238,184,105.94
115,9,0,bounceout,t20,184,184,105.94
116,9,20,i20,t20,184,164,105.94
117,9,60,t20,t20,164,104,105.94
118,9,20,i20,t20,104,84,105.94
119,10,20,i20,t20,501,481,105.94
120,10,57,t19,t19,481,424,105.94
121,10,18,o18,t18,424,406,105.94
122,10,20,o20,t20,406,386,105.94
123,10,20,o20,t20,386,366,105.94
124,10,20,i20,t20,366,346,105.94
125,10,20,i20,t20,346,326,105.94
126,10,57,t19,t19,326,269,105.94
127,10,19,o19,t19,269,250,105.94
128,10,20,i20,t20,250,230,105.94
129,10,20,i20,t20,230,210,105.94
130,10,60,t20,t20,210,150,105.94
131,10,3,t1,t20,150,147,105.94
132,10,57,t19,t19,147,90,105.94
133,10,18,o18,t18,90,72,105.94
134,11,20,o20,t20,501,481,105.94
135,11,20,i20,t20,481,461,105.94
136,11,20,o20,t20,461,441,105.94
137,11,1,i1,t20,441,440,105.94
138,11,19,i19,t19,440,421,105.94
139,11,57,t19,t19,421,364,105.94
140,11,60,t20,t20,364,304,105.94
141,11,20,i20,t20,304,284,105.94
142,11,57,t19,t19,284,227,105.94
143,11,60,t20,t20,227,167,105.94
144,11,20,i20,t20,167,147,105.94
