bed,aimedat,average,,min 100 darts at double
ibull,ibull,93.23,,
ibull,ibull,93.23,,
ibull,ibull,93.23,,
ibull,ibull,93.23,,
ibull,ibull,93.23,,
ibull,ibull,93.23,,
ibull,ibull,93.23,,
ibull,ibull,93.23,,
ibull,ibull,93.23,,
ibull,ibull,93.23,,
ibull,ibull,93.23,,
ibull,ibull,93.23,,
ibull,ibull,93.23,,
ibull,ibull,93.23,,
ibull,ibull,93.23,,
ibull,ibull,93.23,,
ibull,ibull,93.23,,
ibull,ibull,93.23,,
ibull,ibull,93.23,,
ibull,ibull,93.23,,
ibull,ibull,93.23,,
ibull,ibull,93.23,,
ibull,ibull,93.23,,
ibull,ibull,93.23,,
ibull,ibull,93.23,,
ibull,ibull,93.23,,
ibull,ibull,93.23,,
ibull,ibull,93.23,,
ibull,ibull,93.23,,
ibull,ibull,93.23,,
ibull,ibull,93.23,,
ibull,ibull,93.23,,
ibull,ibull,93.23,,
ibull,ibull,93.23,,
ibull,ibull,93.23,,
ibull,ibull,93.23,,
ibull,ibull,93.23,,
ibull,ibull,93.23,,
ibull,ibull,93.23,,
ibull,ibull,93.23,,
ibull,ibull,93.23,,
ibull,ibull,93.23,,
ibull,ibull,93.23,,
ibull,ibull,93.23,,
ibull,ibull,93.23,,
ibull,ibull,93.23,,
ibull,ibull,93.23,,
ibull,ibull,93.23,,
ibull,ibull,93.23,,
ibull,ibull,93.23,,
ibull,ibull,93.23,,
ibull,ibull,93.23,,
ibull,ibull,93.23,,
ibull,ibull,93.23,,
ibull,ibull,93.23,,
ibull,ibull,93.23,,
ibull,ibull,93.23,,
ibull,ibull,93.23,,
ibull,ibull,93.23,,
ibull,ibull,93.23,,
ibull,ibull,93.23,,
ibull,ibull,93.23,,
obull,ibull,93.23,,
obull,ibull,93.23,,
obull,ibull,93.23,,
obull,ibull,93.23,,
obull,ibull,93.23,,
obull,ibull,93.23,,
obull,ibull,93.23,,
obull,ibull,93.23,,
obull,ibull,93.23,,
obull,ibull,93.23,,
obull,ibull,93.23,,
obull,ibull,93.23,,
obull,ibull,93.23,,
obull,ibull,93.23,,
obull,ibull,93.23,,
obull,ibull,93.23,,
obull,ibull,93.23,,
obull,ibull,93.23,,
obull,ibull,93.23,,
obull,ibull,93.23,,
obull,ibull,93.23,,
obull,ibull,93.23,,
obull,ibull,93.23,,
obull,ibull,93.23,,
obull,ibull,93.23,,
obull,ibull,93.23,,
obull,ibull,93.23,,
obull,ibull,93.23,,
obull,ibull,93.23,,
obull,ibull,93.23,,
obull,ibull,93.23,,
obull,ibull,93.23,,
obull,ibull,93.23,,
obull,ibull,93.23,,
obull,ibull,93.23,,
obull,ibull,93.23,,
obull,ibull,93.23,,
obull,ibull,93.23,,
obull,ibull,93.23,,
obull,ibull,93.23,,
obull,ibull,93.23,,
obull,ibull,93.23,,
obull,ibull,93.23,,
obull,ibull,93.23,,
obull,ibull,93.23,,
obull,ibull,93.23,,
obull,ibull,93.23,,
obull,ibull,93.23,,
obull,ibull,93.23,,
obull,ibull,93.23,,
obull,ibull,93.23,,
obull,ibull,93.23,,
obull,ibull,93.23,,
obull,ibull,93.23,,
obull,ibull,93.23,,
obull,ibull,93.23,,
obull,ibull,93.23,,
obull,ibull,93.23,,
obull,ibull,93.23,,
obull,ibull,93.23,,
obull,ibull,93.23,,
obull,ibull,93.23,,
obull,ibull,93.23,,
obull,ibull,93.23,,
obull,ibull,93.23,,
obull,ibull,93.23,,
obull,ibull,93.23,,
obull,ibull,93.23,,
obull,ibull,93.23,,
obull,ibull,93.23,,
obull,ibull,93.23,,
obull,ibull,93.23,,
obull,ibull,93.23,,
obull,ibull,93.23,,
obull,ibull,93.23,,
obull,ibull,93.23,,
obull,ibull,93.23,,
obull,ibull,93.23,,
obull,ibull,93.23,,
obull,ibull,93.23,,
obull,ibull,93.23,,
i17,ibull,93.23,,
i17,ibull,93.23,,
i14,ibull,93.23,,
i14,ibull,93.23,,
i14,ibull,93.23,,
i14,ibull,93.23,,
i14,ibull,93.23,,
ibull,ibull,95.72,,
ibull,ibull,95.72,,
ibull,ibull,95.72,,
ibull,ibull,95.72,,
ibull,ibull,95.72,,
ibull,ibull,95.72,,
ibull,ibull,95.72,,
ibull,ibull,95.72,,
ibull,ibull,95.72,,
ibull,ibull,95.72,,
ibull,ibull,95.72,,
ibull,ibull,95.72,,
ibull,ibull,95.72,,
ibull,ibull,95.72,,
ibull,ibull,95.72,,
ibull,ibull,95.72,,
ibull,ibull,95.72,,
ibull,ibull,95.72,,
ibull,ibull,95.72,,
ibull,ibull,95.72,,
ibull,ibull,95.72,,
ibull,ibull,95.72,,
ibull,ibull,95.72,,
ibull,ibull,95.72,,
ibull,ibull,95.72,,
ibull,ibull,95.72,,
ibull,ibull,95.72,,
ibull,ibull,95.72,,
