bed,aimedat,average,,min 50 darts at double
d14,d14,94.42,,
d14,d14,94.42,,
d14,d14,94.42,,
d14,d14,94.42,,
d14,d14,94.42,,
d14,d14,94.42,,
d14,d14,94.42,,
d14,d14,94.42,,
d14,d14,94.42,,
d14,d14,94.42,,
d14,d14,94.42,,
d14,d14,94.42,,
d14,d14,94.42,,
d14,d14,94.42,,
d14,d14,94.42,,
d14,d14,94.42,,
d14,d14,94.42,,
d14,d14,94.42,,
d14,d14,94.42,,
d14,d14,94.42,,
d14,d14,94.42,,
d14,d14,94.42,,
d14,d14,94.42,,
d14,d14,94.42,,
d14,d14,94.42,,
d14,d14,94.42,,
d14,d14,94.42,,
d14,d14,94.42,,
d14,d14,94.42,,
d14,d14,94.42,,
d14,d14,94.42,,
d14,d14,94.42,,
d14,d14,94.42,,
d14,d14,94.42,,
d14,d14,94.42,,
d14,d14,94.42,,
d14,d14,94.42,,
d14,d14,94.42,,
d14,d14,94.42,,
d14,d14,94.42,,
d14,d14,94.42,,
d14,d14,94.42,,
d14,d14,94.42,,
o14,d14,94.42,,
o14,d14,94.42,,
o14,d14,94.42,,
o14,d14,94.42,,
o14,d14,94.42,,
o14,d14,94.42,,
o14,d14,94.42,,
o14,d14,94.42,,
m14,d14,94.42,,
m14,d14,94.42,,
m14,d14,94.42,,
m14,d14,94.42,,
m14,d14,94.42,,
m14,d14,94.42,,
m14,d14,94.42,,
m14,d14,94.42,,
m14,d14,94.42,,
m14,d14,94.42,,
d14,d14,95.59,,
d14,d14,95.59,,
d14,d14,95.59,,
d14,d14,95.59,,
d14,d14,95.59,,
d14,d14,95.59,,
d14,d14,95.59,,
d14,d14,95.59,,
d14,d14,95.59,,
d14,d14,95.59,,
d14,d14,95.59,,
d14,d14,95.59,,
d14,d14,95.59,,
d14,d14,95.59,,
d14,d14,95.59,,
d14,d14,95.59,,
d14,d14,95.59,,
d14,d14,95.59,,
d14,d14,95.59,,
d14,d14,95.59,,
d14,d14,95.59,,
d14,d14,95.59,,
d14,d14,95.59,,
d14,d14,95.59,,
d14,d14,95.59,,
d14,d14,95.59,,
d14,d14,95.59,,
d14,d14,95.59,,
d14,d14,95.59,,
d14,d14,95.59,,
d14,d14,95.59,,
d14,d14,95.59,,
d14,d14,95.59,,
d14,d14,95.59,,
d14,d14,95.59,,
d14,d14,95.59,,
d14,d14,95.59,,
o14,d14,95.59,,
o14,d14,95.59,,
o14,d14,95.59,,
o14,d14,95.59,,
o14,d14,95.59,,
o14,d14,95.59,,
o14,d14,95.59,,
o14,d14,95.59,,
o14,d14,95.59,,
o14,d14,95.59,,
o14,d14,95.59,,
o14,d14,95.59,,
o14,d14,95.59,,
o14,d14,95.59,,
o14,d14,95.59,,
o14,d14,95.59,,
o14,d14,95.59,,
o14,d14,95.59,,
o14,d14,95.59,,
o14,d14,95.59,,
o14,d14,95.59,,
o14,d14,95.59,,
o14,d14,95.59,,
o14,d14,95.59,,
o14,d14,95.59,,
o14,d14,95.59,,
m14,d14,95.59,,
m14,d14,95.59,,
m14,d14,95.59,,
m14,d14,95.59,,
m14,d14,95.59,,
d14,d14,92.19,,
d14,d14,92.19,,
d14,d14,92.19,,
d14,d14,92.19,,
d14,d14,92.19,,
d14,d14,92.19,,
d14,d14,92.19,,
d14,d14,92.19,,
d14,d14,92.19,,
d14,d14,92.19,,
