bed,aimedat,average,,min 1 dart at double
d17,d17,97.03,,
d17,d17,97.03,,
d17,d17,97.03,,
d17,d17,97.03,,
d17,d17,97.03,,
d17,d17,97.03,,
d17,d17,97.03,,
d17,d17,97.03,,
d17,d17,97.03,,
d17,d17,97.03,,
d17,d17,97.03,,
d17,d17,97.03,,
d17,d17,97.03,,
d17,d17,97.03,,
d17,d17,97.27,,
d17,d17,97.27,,
d17,d17,97.27,,
d17,d17,97.27,,
d17,d17,97.27,,
d17,d17,92.9,,
d17,d17,87.78,,
d17,d17,87.78,,
d17,d17,87.78,,
d17,d17,87.78,,
d17,d17,91.64,,
d17,d17,91.64,,
d17,d17,91.64,,
d17,d17,91.64,,
d17,d17,91.64,,
d17,d17,81.54,,
d17,d17,91.79,,
d17,d17,91.79,,
d17,d17,91.79,,
d17,d17,91.79,,
d17,d17,91.79,,
m17,d17,91.79,,
m17,d17,91.79,,
m17,d17,91.79,,
m17,d17,91.79,,
m17,d17,91.79,,
d17,d17,93.35,,
d17,d17,93.35,,
d17,d17,93.35,,
d17,d17,93.35,,
d17,d17,93.35,,
m17,d17,93.35,,
m17,d17,93.35,,
m17,d17,93.35,,
m17,d17,93.35,,
m17,d17,93.35,,
d17,d17,91.09,,
d17,d17,91.09,,
d17,d17,91.09,,
d17,d17,91.09,,
d17,d17,91.09,,
m17,d17,91.09,,
m17,d17,91.09,,
m17,d17,91.09,,
m17,d17,91.09,,
m17,d17,91.09,,
d17,d17,82.73,,
m17,d17,82.73,,
m17,d17,82.73,,
d17,d17,95.72,,
d17,d17,95.72,,
d17,d17,95.72,,
d17,d17,95.72,,
d17,d17,95.72,,
d17,d17,95.72,,
d17,d17,95.72,,
d17,d17,95.72,,
d17,d17,95.72,,
d17,d17,95.72,,
o17,d17,95.72,,
o17,d17,95.72,,
o17,d17,95.72,,
o17,d17,95.72,,
o17,d17,95.72,,
o17,d17,95.72,,
o17,d17,95.72,,
o17,d17,95.72,,
o17,d17,95.72,,
o17,d17,95.72,,
o17,d17,95.72,,
o17,d17,95.72,,
m17,d17,95.72,,
m17,d17,95.72,,
m17,d17,95.72,,
m17,d17,95.72,,
m17,d17,95.72,,
m17,d17,95.72,,
m17,d17,95.72,,
m17,d17,95.72,,
m17,d17,95.72,,
m17,d17,95.72,,
m17,d17,95.72,,
m17,d17,95.72,,
m17,d17,95.72,,
m17,d17,95.72,,
m17,d17,95.72,,
m17,d17,95.72,,
m17,d17,95.72,,
m17,d17,95.72,,
m17,d17,95.72,,
m17,d17,95.72,,
m17,d17,95.72,,
m17,d17,95.72,,
m17,d17,95.72,,
m17,d17,95.72,,
m17,d17,95.72,,
d17,d17,98.58,,
d17,d17,98.58,,
