bed,aimedat,average,,
d20,d20,88.97,,min 100 attempts at double
d20,d20,88.97,,
d20,d20,88.97,,
d20,d20,88.97,,
d20,d20,88.97,,
d20,d20,88.97,,
d20,d20,88.97,,
d20,d20,88.97,,
d20,d20,88.97,,
d20,d20,88.97,,
d20,d20,88.97,,
d20,d20,88.97,,
d20,d20,88.97,,
d20,d20,88.97,,
d20,d20,88.97,,
d20,d20,88.97,,
d20,d20,88.97,,
d20,d20,88.97,,
d20,d20,88.97,,
d20,d20,88.97,,
d20,d20,88.97,,
d20,d20,88.97,,
d20,d20,88.97,,
d20,d20,88.97,,
d20,d20,88.97,,
d20,d20,88.97,,
d20,d20,88.97,,
d20,d20,88.97,,
d20,d20,88.97,,
d20,d20,88.97,,
d20,d20,88.97,,
d20,d20,88.97,,
d20,d20,88.97,,
d20,d20,88.97,,
d20,d20,88.97,,
d20,d20,88.97,,
d20,d20,88.97,,
d20,d20,88.97,,
d20,d20,88.97,,
d20,d20,88.97,,
d20,d20,88.97,,
d20,d20,88.97,,
d20,d20,88.97,,
d20,d20,88.97,,
d20,d20,88.97,,
d20,d20,88.97,,
d20,d20,88.97,,
d20,d20,88.97,,
d20,d20,88.97,,
d20,d20,88.97,,
d20,d20,88.97,,
d20,d20,88.97,,
d20,d20,88.97,,
d20,d20,88.97,,
d20,d20,88.97,,
d20,d20,88.97,,
d20,d20,88.97,,
d20,d20,88.97,,
d20,d20,88.97,,
d20,d20,88.97,,
d20,d20,88.97,,
d20,d20,88.97,,
d20,d20,88.97,,
d20,d20,88.97,,
d20,d20,88.97,,
d20,d20,88.97,,
d20,d20,88.97,,
d20,d20,88.97,,
d20,d20,88.97,,
d20,d20,88.97,,
d20,d20,88.97,,
d20,d20,88.97,,
d20,d20,88.97,,
d20,d20,88.97,,
d20,d20,88.97,,
d20,d20,88.97,,
d20,d20,88.97,,
d20,d20,88.97,,
d20,d20,88.97,,
d20,d20,88.97,,
d20,d20,88.97,,
d20,d20,88.97,,
o20,d20,88.97,,
o20,d20,88.97,,
o20,d20,88.97,,
o20,d20,88.97,,
o20,d20,88.97,,
o20,d20,88.97,,
o20,d20,88.97,,
o20,d20,88.97,,
o20,d20,88.97,,
o20,d20,88.97,,
o20,d20,88.97,,
o20,d20,88.97,,
o20,d20,88.97,,
o20,d20,88.97,,
o20,d20,88.97,,
o20,d20,88.97,,
m20,d20,88.97,,
m20,d20,88.97,,
m20,d20,88.97,,
m20,d20,88.97,,
m20,d20,88.97,,
m20,d20,88.97,,
m20,d20,88.97,,
m20,d20,88.97,,
m20,d20,88.97,,
m20,d20,88.97,,
m20,d20,88.97,,
m20,d20,88.97,,
m20,d20,88.97,,
m20,d20,88.97,,
m20,d20,88.97,,
m20,d20,88.97,,
m20,d20,88.97,,
m20,d20,88.97,,
m20,d20,88.97,,
m20,d20,88.97,,
m20,d20,88.97,,
m20,d20,88.97,,
m20,d20,88.97,,
m20,d20,88.97,,
m20,d20,88.97,,
m20,d20,88.97,,
m20,d20,88.97,,
m20,d20,88.97,,
m20,d20,88.97,,
m20,d20,88.97,,
m20,d20,88.97,,
m20,d20,88.97,,
m20,d20,88.97,,
m20,d20,88.97,,
m20,d20,88.97,,
m20,d20,88.97,,
m20,d20,88.97,,
m20,d20,88.97,,
m20,d20,88.97,,
m20,d20,88.97,,
m20,d20,88.97,,
m20,d20,88.97,,
m20,d20,88.97,,
m20,d20,88.97,,
m20,d20,88.97,,
m20,d20,88.97,,
m20,d20,88.97,,
m20,d20,88.97,,
m20,d20,88.97,,
m20,d20,88.97,,
m20,d20,88.97,,
m20,d20,88.97,,
m20,d20,88.97,,
m20,d20,88.97,,
m20,d20,88.97,,
m20,d20,88.97,,
m20,d20,88.97,,
m20,d20,88.97,,
o5,d20,88.97,,
o5,d20,88.97,,
o1,d20,88.97,,
o5,d20,88.97,,
o5,d20,88.97,,
d20,d20,86.85,,
d20,d20,86.85,,
d20,d20,86.85,,
d20,d20,86.85,,
d20,d20,86.85,,
d20,d20,86.85,,
d20,d20,86.85,,
d20,d20,86.85,,
d20,d20,86.85,,
d20,d20,86.85,,
d20,d20,86.85,,
d20,d20,86.85,,
d20,d20,86.85,,
d20,d20,86.85,,
d20,d20,86.85,,
d20,d20,86.85,,
d20,d20,86.85,,
d20,d20,86.85,,
d20,d20,86.85,,
