bed,aimedat,average,,,min 50 darts at double
d6,d6,92.52,,,
d6,d6,92.52,,,
d6,d6,92.52,,,
d6,d6,92.52,,,
d6,d6,92.52,,,
d6,d6,92.52,,,
d6,d6,92.52,,,
d6,d6,92.52,,,
d6,d6,92.52,,,
d6,d6,92.52,,,
d6,d6,92.52,,,
d6,d6,92.52,,,
d6,d6,92.52,,,
d6,d6,92.52,,,
d6,d6,92.52,,,
d6,d6,92.52,,,
d6,d6,92.52,,,
d6,d6,92.52,,,
d6,d6,92.52,,,
d6,d6,92.52,,,
d6,d6,92.52,,,
d6,d6,92.52,,,
d6,d6,92.52,,,
d6,d6,92.52,,,
d6,d6,92.52,,,
d6,d6,92.52,,,
d6,d6,92.52,,,
d6,d6,92.52,,,
d6,d6,92.52,,,
d6,d6,92.52,,,
d6,d6,92.52,,,
d6,d6,92.52,,,
d6,d6,92.52,,,
d6,d6,92.52,,,
d6,d6,92.52,,,
d6,d6,92.52,,,
d6,d6,92.52,,,
d6,d6,92.52,,,
d6,d6,92.52,,,
d6,d6,92.52,,,
d6,d6,92.52,,,
d6,d6,92.52,,,
d6,d6,92.52,,,
d6,d6,92.52,,,
d6,d6,92.52,,,
d6,d6,92.52,,,
d6,d6,92.52,,,
d6,d6,92.52,,,
d6,d6,92.52,,,
d6,d6,92.52,,,
d6,d6,92.52,,,
d6,d6,92.52,,,
d6,d6,92.52,,,
d6,d6,92.52,,,
d6,d6,92.52,,,
d6,d6,92.52,,,
d6,d6,92.52,,,
d6,d6,92.52,,,
d6,d6,92.52,,,
d6,d6,92.52,,,
d6,d6,92.52,,,
d6,d6,92.52,,,
d6,d6,92.52,,,
d6,d6,92.52,,,
d6,d6,92.52,,,
d6,d6,92.52,,,
d6,d6,92.52,,,
d6,d6,92.52,,,
d6,d6,92.52,,,
d6,d6,92.52,,,
d6,d6,92.52,,,
d6,d6,92.52,,,
d6,d6,92.52,,,
d6,d6,92.52,,,
d6,d6,92.52,,,
d6,d6,92.52,,,
d6,d6,92.52,,,
