bed,aimedat,average,,min 20  darts at double
d7,d7,94.94,,
d7,d7,94.94,,
d7,d7,94.94,,
d7,d7,94.94,,
d7,d7,94.94,,
d7,d7,94.94,,
d7,d7,94.94,,
d7,d7,94.94,,
d7,d7,94.94,,
d7,d7,94.94,,
d7,d7,94.94,,
d7,d7,94.94,,
d7,d7,94.94,,
d7,d7,94.94,,
d7,d7,94.94,,
d7,d7,94.94,,
d7,d7,94.94,,
d7,d7,94.94,,
d7,d7,94.94,,
d7,d7,94.94,,
d7,d7,94.94,,
o7,d7,94.94,,
m7,d7,94.94,,
m7,d7,94.94,,
m7,d7,94.94,,
m7,d7,94.94,,
m7,d7,94.94,,
m7,d7,94.94,,
m7,d7,94.94,,
m7,d7,94.94,,
m7,d7,94.94,,
m7,d7,94.94,,
m7,d7,94.94,,
d7,d7,94.76,,
d7,d7,94.76,,
d7,d7,94.76,,
d7,d7,94.76,,
d7,d7,94.76,,
d7,d7,94.76,,
d7,d7,94.76,,
d7,d7,94.76,,
d7,d7,94.76,,
d7,d7,94.76,,
d7,d7,94.76,,
d7,d7,94.76,,
d7,d7,94.76,,
d7,d7,94.76,,
d7,d7,94.76,,
d7,d7,94.76,,
d7,d7,94.76,,
d7,d7,94.76,,
d7,d7,94.76,,
d7,d7,94.76,,
d7,d7,94.76,,
d7,d7,94.76,,
d7,d7,94.76,,
m7,d7,94.76,,
m7,d7,94.76,,
m7,d7,94.76,,
m7,d7,94.76,,
m7,d7,94.76,,
m7,d7,94.76,,
m7,d7,94.76,,
m7,d7,94.76,,
m7,d7,94.76,,
m7,d7,94.76,,
m7,d7,94.76,,
m7,d7,94.76,,
m7,d7,94.76,,
m7,d7,94.76,,
m7,d7,94.76,,
d7,d7,95.19,,
d7,d7,95.19,,
d7,d7,95.19,,
d7,d7,95.19,,
d7,d7,95.19,,
d7,d7,95.19,,
d7,d7,95.19,,
d7,d7,95.19,,
d7,d7,95.19,,
d7,d7,95.19,,
d7,d7,95.19,,
d7,d7,95.19,,
d7,d7,95.19,,
d7,d7,95.19,,
d7,d7,95.19,,
d7,d7,95.19,,
d7,d7,95.19,,
d7,d7,95.19,,
o7,d7,95.19,,
o7,d7,95.19,,
o7,d7,95.19,,
o7,d7,95.19,,
o7,d7,95.19,,
o7,d7,95.19,,
o7,d7,95.19,,
o7,d7,95.19,,
m7,d7,95.19,,
m7,d7,95.19,,
m7,d7,95.19,,
m7,d7,95.19,,
m7,d7,95.19,,
d7,d7,91.64,,
d7,d7,91.64,,
d7,d7,91.64,,
d7,d7,91.64,,
d7,d7,91.64,,
d7,d7,91.64,,
d7,d7,91.64,,
d7,d7,91.64,,
d7,d7,91.64,,
d7,d7,91.64,,
d7,d7,91.64,,
d7,d7,91.64,,
m7,d7,91.64,,
m7,d7,91.64,,
m7,d7,91.64,,
m7,d7,91.64,,
m7,d7,91.64,,
m7,d7,91.64,,
m7,d7,91.64,,
o16,d7,91.64,,
d16,d7,91.64,,
d7,d7,98.64,,
d7,d7,98.64,,
d7,d7,98.64,,
d7,d7,98.64,,
d7,d7,98.64,,
d7,d7,98.64,,
d7,d7,98.64,,
d7,d7,98.64,,
d7,d7,98.64,,
d7,d7,98.64,,
d7,d7,98.64,,
d7,d7,98.64,,
d7,d7,98.64,,
d7,d7,98.64,,
d7,d7,98.64,,
d7,d7,98.64,,
d7,d7,98.64,,
d7,d7,98.64,,
d7,d7,98.64,,
d7,d7,98.64,,
d7,d7,98.64,,
d7,d7,98.64,,
d7,d7,98.64,,
d7,d7,98.64,,
d7,d7,98.64,,
d7,d7,98.64,,
d7,d7,98.64,,
d7,d7,98.64,,
d7,d7,98.64,,
d7,d7,98.64,,
d7,d7,98.64,,
o7,d7,98.64,,
o7,d7,98.64,,
o7,d7,98.64,,
o7,d7,98.64,,
o7,d7,98.64,,
o7,d7,98.64,,
o7,d7,98.64,,
o7,d7,98.64,,
o7,d7,98.64,,
o7,d7,98.64,,
o7,d7,98.64,,
o7,d7,98.64,,
o7,d7,98.64,,
o7,d7,98.64,,
o7,d7,98.64,,
m7,d7,98.64,,
m7,d7,98.64,,
m7,d7,98.64,,
m7,d7,98.64,,
m7,d7,98.64,,
m7,d7,98.64,,
m7,d7,98.64,,
m7,d7,98.64,,
m7,d7,98.64,,
m7,d7,98.64,,
d7,d7,92.82,,
d7,d7,92.82,,
d7,d7,92.82,,
d7,d7,92.82,,
d7,d7,92.82,,
d7,d7,92.82,,
d7,d7,92.82,,
d7,d7,92.82,,
d7,d7,92.82,,
d7,d7,92.82,,
d7,d7,92.82,,
d7,d7,92.82,,
d7,d7,92.82,,
d7,d7,92.82,,
d7,d7,92.82,,
d7,d7,92.82,,
d7,d7,92.82,,
d7,d7,92.82,,
d7,d7,92.82,,
d7,d7,92.82,,
d7,d7,92.82,,
o7,d7,92.82,,
o7,d7,92.82,,
m7,d7,92.82,,
m7,d7,92.82,,
m7,d7,92.82,,
m7,d7,92.82,,
m7,d7,92.82,,
m7,d7,92.82,,
m7,d7,92.82,,
m7,d7,92.82,,
m7,d7,92.82,,
m7,d7,92.82,,
m7,d7,92.82,,
m7,d7,92.82,,
m7,d7,92.82,,
m7,d7,92.82,,
m7,d7,92.82,,
d7,d7,92.19,,
d7,d7,92.19,,
d7,d7,92.19,,
d7,d7,92.19,,
d7,d7,92.19,,
d7,d7,92.19,,
d7,d7,92.19,,
d7,d7,92.19,,
d7,d7,92.19,,
d7,d7,92.19,,
d7,d7,92.19,,
d7,d7,92.19,,
d7,d7,92.19,,
d7,d7,92.19,,
d7,d7,92.19,,
d7,d7,92.19,,
d7,d7,92.19,,
d7,d7,92.19,,
d7,d7,92.19,,
d7,d7,92.19,,
d7,d7,92.19,,
d7,d7,92.19,,
d7,d7,92.19,,
d7,d7,92.19,,
d7,d7,92.19,,
d7,d7,92.19,,
d7,d7,92.19,,
d7,d7,92.19,,
d7,d7,92.19,,
d7,d7,92.19,,
d7,d7,92.19,,
d7,d7,92.19,,
o7,d7,92.19,,
o7,d7,92.19,,
o7,d7,92.19,,
o7,d7,92.19,,
o7,d7,92.19,,
o7,d7,92.19,,
o7,d7,92.19,,
o7,d7,92.19,,
o7,d7,92.19,,
o7,d7,92.19,,
m7,d7,92.19,,
m7,d7,92.19,,
m7,d7,92.19,,
m7,d7,92.19,,
m7,d7,92.19,,
m7,d7,92.19,,
m7,d7,92.19,,
m7,d7,92.19,,
m7,d7,92.19,,
m7,d7,92.19,,
m7,d7,92.19,,
m7,d7,92.19,,
m7,d7,92.19,,
m7,d7,92.19,,
m7,d7,92.19,,
d19,d7,92.19,,
d7,d7,95.69,,
d7,d7,95.69,,
d7,d7,95.69,,
d7,d7,95.69,,
d7,d7,95.69,,
d7,d7,95.69,,
d7,d7,95.69,,
d7,d7,95.69,,
d7,d7,95.69,,
d7,d7,95.69,,
d7,d7,95.69,,
d7,d7,95.69,,
d7,d7,95.69,,
d7,d7,95.69,,
d7,d7,95.69,,
d7,d7,95.69,,
d7,d7,95.69,,
d7,d7,95.69,,
d7,d7,95.69,,
m7,d7,95.69,,
m7,d7,95.69,,
m7,d7,95.69,,
m7,d7,95.69,,
m7,d7,95.69,,
m7,d7,95.69,,
m7,d7,95.69,,
m7,d7,95.69,,
m7,d7,95.69,,
m7,d7,95.69,,
m7,d7,95.69,,
m7,d7,95.69,,
m7,d7,95.69,,
m7,d7,95.69,,
m7,d7,95.69,,
m7,d7,95.69,,
o16,d7,95.69,,
d7,d7,93.02,,
d7,d7,93.02,,
d7,d7,93.02,,
d7,d7,93.02,,
d7,d7,93.02,,
d7,d7,93.02,,
d7,d7,93.02,,
d7,d7,93.02,,
d7,d7,93.02,,
d7,d7,93.02,,
d7,d7,93.02,,
o7,d7,93.02,,
o7,d7,93.02,,
o7,d7,93.02,,
o7,d7,93.02,,
o7,d7,93.02,,
o7,d7,93.02,,
o7,d7,93.02,,
m7,d7,93.02,,
m7,d7,93.02,,
m7,d7,93.02,,
d7,d7,88.97,,
d7,d7,88.97,,
d7,d7,88.97,,
d7,d7,88.97,,
d7,d7,88.97,,
d7,d7,88.97,,
d7,d7,88.97,,
d7,d7,88.97,,
d7,d7,88.97,,
d7,d7,88.97,,
m7,d7,88.97,,
m7,d7,88.97,,
m7,d7,88.97,,
m7,d7,88.97,,
m7,d7,88.97,,
m7,d7,88.97,,
m7,d7,88.97,,
m7,d7,88.97,,
m7,d7,88.97,,
m7,d7,88.97,,
d7,d7,97.03,,
d7,d7,97.03,,
d7,d7,97.03,,
d7,d7,97.03,,
d7,d7,97.03,,
d7,d7,97.03,,
d7,d7,97.03,,
d7,d7,97.03,,
d7,d7,97.03,,
d7,d7,97.03,,
d7,d7,97.03,,
d7,d7,97.03,,
d7,d7,97.03,,
d7,d7,97.03,,
d7,d7,97.03,,
d7,d7,97.03,,
d7,d7,97.03,,
d7,d7,97.03,,
d7,d7,97.03,,
d7,d7,97.03,,
d7,d7,97.03,,
d7,d7,97.03,,
d7,d7,97.03,,
d7,d7,97.03,,
d7,d7,97.03,,
d7,d7,97.03,,
d7,d7,97.03,,
d7,d7,97.03,,
d7,d7,97.03,,
d7,d7,97.03,,
d7,d7,97.03,,
d7,d7,97.03,,
d7,d7,97.03,,
d7,d7,97.03,,
d7,d7,97.03,,
d7,d7,97.03,,
