number,leg,dartScore,bed,aimedat,sB4Dart,sAfDart,average
1,1,60,t20,t20,501,441,32.89
2,1,20,o20,t20,441,421,
3,1,20,i20,t20,421,401,
4,1,3,t1,t20,401,398,
5,1,3,t1,t20,398,395,
6,1,12,o12,t20,395,383,
7,1,1,i1,t20,383,382,
8,1,5,i5,t20,382,377,
9,1,60,t20,t20,377,317,
10,1,20,i20,t20,317,297,
11,1,20,i20,t20,297,277,
12,1,1,o1,t20,277,276,
13,1,5,i5,t20,276,271,
14,1,5,o5,t20,271,266,
15,1,19,o19,t19,266,247,
16,1,3,t1,t20,247,244,
17,1,20,i20,t20,244,224,
18,1,60,t20,t20,224,164,
19,1,50,ibull,t20,164,114,
20,1,9,i9,t20,114,105,
21,1,18,i18,t20,105,87,
22,1,17,o17,t17,87,70,
23,1,1,i1,t20,70,69,
24,1,6,t2,t15,69,63,
25,1,13,o13,t13,63,50,
26,1,1,i1,o18,50,49,
27,1,2,o2,o17,49,47,
28,1,7,o7,o7,47,40,
29,1,0,m20,d20,40,40,
30,1,0,m1,d20,40,40,
31,1,20,o20,d20,40,20,
32,1,0,m10,d10,20,20,
33,1,6,o6,d10,20,14,
34,1,bust,o19,d7,14,14,
35,1,14,d7,d7,14,0,
36,2,1,o1,t20,501,500,
37,2,5,i5,t20,500,495,
38,2,9,i9,t20,495,486,
39,2,1,o1,t20,486,485,
40,2,60,t20,t20,485,425,
41,2,5,o5,t20,425,420,
42,2,12,i12,t20,420,408,
43,2,60,t20,t20,408,348,
44,2,20,o20,t20,348,328,
45,2,5,i5,t20,328,323,
46,2,20,i20,t20,323,303,
47,2,5,i5,t20,303,298,
48,2,5,i5,t20,298,293,
49,2,5,o5,t20,293,288,
50,2,60,t20,t20,288,228,
51,2,14,i14,t20,228,214,
52,2,19,o19,t19,214,195,
53,2,14,i14,ibull,195,181,
54,2,11,i11,t20,181,170,
55,2,18,i18,t20,170,152,
56,2,5,o5,t20,152,147,
57,2,20,o20,t20,147,127,
58,2,8,i8,t20,127,119,
59,2,19,o19,t19,119,100,
60,2,4,i4,t20,100,96,
61,2,20,o20,t20,96,76,
62,2,20,o20,t20,76,56,
63,2,0,m16,o16,56,56,
64,2,0,m16,o16,56,56,
65,2,0,m16,o16,56,56,
66,2,7,o7,o16,56,49,
67,2,2,o2,o17,49,47,
68,2,7,i7,o7,47,40,
69,2,0,m1,d20,40,40,
70,2,5,o5,d20,40,35,
71,2,3,i3,o3,35,32,
72,3,20,o20,t20,501,481,
73,3,19,o19,t19,481,462,
74,3,7,i7,t19,462,455,
75,3,5,i5,t20,455,450,
76,3,12,i12,t20,450,438,
77,3,12,i12,t20,438,426,
78,3,5,i5,t20,426,421,
79,3,20,i20,t20,421,401,
80,3,5,o5,t20,401,396,
81,3,20,o20,t20,396,376,
82,3,1,i1,t20,376,375,
83,3,18,i18,t20,375,357,
84,3,60,t20,t20,357,297,
85,3,20,o20,t20,297,277,
86,3,0,bounceout,t20,277,277,
87,3,20,i20,t20,277,257,
88,3,20,i20,t20,257,237,
89,3,20,o20,t20,237,217,
90,3,1,i1,t20,217,216,
91,3,5,o5,t20,216,211,
92,3,9,i9,t20,211,202,
93,3,20,i20,t20,202,182,
94,3,60,t20,t20,182,122,
95,3,20,o20,t20,122,102,
96,3,4,i4,t18,102,98,
97,3,3,t1,t20,98,95,
98,3,3,o3,t19,95,92,
99,3,1,o1,t20,92,91,
100,3,2,o2,t17,91,89,
101,3,19,o19,t19,89,70,
102,3,2,o2,t10,70,68,
103,3,1,o1,t18,68,67,
104,3,57,t19,t17,67,10,
105,3,5,m5,d5,10,10,
106,3,5,m5,d5,10,10,
107,3,5,m5,d5,10,10,
108,3,bust,o12,d5,10,10,
109,3,bust,o12,d5,10,10,
110,3,0,m5,d5,10,10,
111,3,10,d5,d5,10,0,
112,4,20,i20,t20,501,481,
113,4,1,i1,t20,481,480,
114,4,9,i9,t20,480,471,
115,4,12,i12,t20,471,459,
116,4,20,o20,t20,459,439,
117,4,36,t12,t20,439,403,
118,4,12,i12,t20,403,391,
119,4,12,i12,t20,391,379,
120,4,20,i20,t20,379,359,
121,4,4,i4,t20,359,355,
122,4,20,i20,t20,355,335,
123,4,1,o1,t20,335,334,
124,4,20,i20,t20,334,314,
125,4,1,o1,t20,314,313,
126,4,5,i5,t20,313,308,
127,4,3,t1,t20,308,305,
