number,leg,dartScore,bed,aimedat,sB4Dart,sAfDart,average
1,1,5,o5,t20,501,496,32.78
2,1,5,o5,t20,496,491,
3,1,1,o1,t20,491,490,
4,1,1,i1,t20,490,489,
5,1,5,o5,t20,489,484,
6,1,60,t20,t20,484,424,
7,1,20,o20,t20,424,404,
8,1,5,o5,t20,404,399,
9,1,1,o1,t20,399,398,
10,1,0,m20,t20,398,398,
11,1,0,m20,t20,398,398,
12,1,1,o1,t20,398,397,
13,1,60,t20,t20,397,337,
14,1,20,i20,t20,337,317,
15,1,20,o20,t20,317,297,
16,1,1,o1,t20,297,296,
17,1,60,t20,t20,296,236,
18,1,20,o20,t20,236,216,
19,1,20,o20,t20,216,196,
20,1,0,m20,t20,196,196,
21,1,20,o20,t20,196,176,
22,1,1,o1,t20,176,175,
23,1,5,o5,t20,175,170,
24,1,20,o20,t20,170,150,
25,1,20,o20,t20,150,130,
26,1,12,o12,t20,130,118,
27,1,20,o20,o18,118,98,
28,1,1,o1,t20,98,97,
29,1,3,i3,t19,97,94,
30,1,18,o18,t18,94,76,
31,1,60,t20,t20,76,16,
32,1,0,m8,d8,16,16,
33,1,0,m11,d8,16,16,
34,1,8,o8,d8,16,8,
35,1,0,m4,d4,8,8,
36,1,0,m4,d4,8,8,
37,1,0,m4,d4,8,8,
38,1,0,m18,d4,8,8,
39,1,0,m4,d4,8,8,
40,2,5,o5,t20,501,496,
41,2,5,o5,t20,496,491,
42,2,20,o20,t20,491,471,
43,2,1,i1,t20,471,470,
44,2,20,o20,t20,470,450,
45,2,1,o1,t20,450,449,
46,2,20,o20,t20,449,429,
47,2,20,o20,t20,429,409,
48,2,20,o20,t20,409,389,
49,2,20,o20,t20,389,369,
50,2,60,t20,t20,369,309,
51,2,5,o5,t20,309,304,
52,2,20,o20,t20,304,284,
53,2,20,o20,t20,284,264,
54,2,20,o20,t20,264,244,
55,2,5,i5,t20,244,239,
56,2,20,o20,t20,239,219,
57,2,20,o20,t20,219,199,
58,2,3,t1,t20,199,196,
59,2,5,o5,t20,196,191,
60,2,19,o19,t19,191,172,
61,2,40,d20,t20,172,132,
62,2,1,o1,t20,132,131,
63,2,9,t3,t19,131,122,
64,2,18,o18,t18,122,104,
65,2,4,i4,t18,104,100,
66,2,20,o20,t20,100,80,
67,2,0,m20,d20,80,80,
68,2,20,o20,d20,80,60,
69,2,20,o20,o20,60,40,
70,2,bust,t20,d20,40,40,
71,2,0,m5,d20,40,40,
72,2,40,d20,d20,40,0,
73,3,20,o20,t20,501,481,
74,3,20,o20,t20,481,461,
75,3,20,o20,t20,461,441,
76,3,20,o20,t20,441,421,
77,3,60,t20,t20,421,361,
78,3,20,o20,t20,361,341,
79,3,60,t20,t20,341,281,
80,3,20,o20,t20,281,261,
81,3,20,o20,t20,261,241,
82,3,4,i4,t20,241,237,
83,3,60,t20,t20,237,177,
84,3,1,o1,t20,177,176,
85,3,1,i1,t20,176,175,
86,3,20,o20,t20,175,155,
87,3,50,ibull,ibull,155,105,
88,3,20,o20,t20,105,85,
89,3,15,i15,t15,85,70,
90,3,6,o6,t10,70,64,
91,3,8,i8,t16,64,56,
92,3,7,o7,o16,56,49,
93,3,11,o11,o11,49,38,
94,3,0,m19,d19,38,38,
95,3,7,o7,d19,38,31,
96,3,0,m7,o7,31,31,
97,3,21,t7,o7,31,10,
98,3,0,m5,d5,10,10,
99,3,0,m5,d5,10,10,
100,3,bust,o12,d5,10,10,
101,3,0,bounceout,d5,10,10,
102,3,0,m5,d5,10,10,
103,3,0,m5,d5,10,10,
104,3,5,m5,d5,10,10,
105,3,5,o5,d5,10,5,
106,3,1,o1,o1,5,4,
107,3,2,o2,d2,4,2,
108,3,bust,o1,d1,2,4,
109,3,0,m2,d2,4,4,
110,3,2,o2,d2,4,2,
111,3,bust,o20,d1,2,4,
112,3,0,m2,d2,4,4,
113,3,0,m2,d2,4,4,
114,3,0,bounceout,d2,4,4,
115,4,1,i1,t20,501,500,
116,4,12,i12,t20,500,488,
117,4,20,o20,t20,488,468,
118,4,20,o20,t20,468,448,
119,4,20,i20,t20,448,428,
120,4,20,i20,t20,428,408,
121,4,5,o5,t20,408,403,
122,4,20,o20,t20,403,383,
123,4,1,i1,t20,383,382,
124,4,1,i1,t20,382,381,
125,4,60,t20,t20,381,321,
126,4,1,i1,t20,321,320,
127,4,20,o20,t20,320,300,
128,4,20,o20,t20,300,280,
129,4,1,o1,t20,280,279,
130,4,5,i5,t20,279,274,
131,4,20,i20,t20,274,254,
132,4,21,t7,t19,254,233,
133,4,8,i8,ibull,233,225,
134,4,19,o19,t19,225,206,
135,4,19,o19,t19,206,187,
136,4,3,t1,t20,187,184,
137,4,20,o20,t20,184,164,
138,4,1,o1,t18,164,163,
139,4,3,t1,t20,163,160,
140,4,20,o20,t20,160,140,
141,4,20,o20,t20,140,120,
142,4,5,i5,t20,120,115,
143,4,15,o15,t15,115,100,
144,4,20,i20,t20,100,80,
145,5,20,o20,t20,501,481,
146,5,1,o1,t20,481,480,
147,5,20,o20,t20,480,460,
148,5,20,i20,t20,460,440,
149,5,5,o5,t20,440,435,
150,5,20,i20,t20,435,415,
