number,leg,dartScore,bed,aimedat,sB4Dart,sAfDart,average
1,1,20,i20,t20,501,481,104.4
2,1,19,o19,t19,481,462,104.4
3,1,4,o4,t18,462,458,104.4
4,1,60,t20,t20,458,398,104.4
5,1,20,i20,t20,398,378,104.4
6,1,20,i20,t20,378,358,104.4
7,1,60,t20,t20,358,298,104.4
8,1,60,t20,t20,298,238,104.4
9,1,60,t20,t20,238,178,104.4
10,1,20,o20,t20,178,158,104.4
11,1,20,i20,t20,158,138,104.4
12,1,18,o18,t18,138,120,104.4
13,2,60,t20,t20,501,441,104.4
14,2,60,t20,t20,441,381,104.4
15,2,19,i19,t19,381,362,104.4
16,2,60,t20,t20,362,302,104.4
17,2,60,t20,t20,302,242,104.4
18,2,60,t20,t20,242,182,104.4
19,2,20,i20,t20,182,162,104.4
20,2,19,o19,t19,162,143,104.4
21,2,17,i17,t17,143,126,104.4
22,2,19,i19,t19,126,107,104.4
23,2,19,o19,t19,107,88,104.4
24,2,48,t16,t16,88,40,104.4
25,2,40,d20,d20,40,0,104.4
26,3,20,i20,t20,501,481,104.4
27,3,19,o19,t19,481,462,104.4
28,3,1,i1,t20,462,461,104.4
29,3,20,i20,t20,461,441,104.4
30,3,57,t19,t19,441,384,104.4
31,3,57,t19,t19,384,327,104.4
32,3,20,i20,t20,327,307,104.4
33,3,57,t19,t19,307,250,104.4
34,3,57,t19,t19,250,193,104.4
35,3,57,t19,t19,193,136,104.4
36,3,57,t19,t19,136,79,104.4
37,3,19,o19,t19,79,60,104.4
38,4,60,t20,t20,501,441,104.4
39,4,60,t20,t20,441,381,104.4
40,4,3,t1,t20,381,378,104.4
41,4,60,t20,t20,378,318,104.4
42,4,20,i20,t20,318,298,104.4
43,4,60,t20,t20,298,238,104.4
44,4,60,t20,t20,238,178,104.4
45,4,20,o20,t20,178,158,104.4
46,4,60,t20,t20,158,98,104.4
47,4,60,t20,t20,98,38,104.4
48,4,38,d19,d19,38,0,104.4
49,5,20,i20,t20,501,481,104.4
50,5,57,t19,t19,481,424,104.4
51,5,57,t19,t19,424,367,104.4
52,5,20,i20,t20,367,347,104.4
53,5,19,i19,t19,347,328,104.4
54,5,54,t18,t18,328,274,104.4
55,5,19,i19,t19,274,255,104.4
56,5,60,t20,t20,255,195,104.4
57,5,25,obull,ibull,195,170,104.4
58,5,20,i20,t20,170,150,104.4
59,5,57,t19,t19,150,93,104.4
60,5,57,t19,t19,93,36,104.4
61,6,20,o20,t20,501,481,104.4
62,6,60,t20,t20,481,421,104.4
63,6,60,t20,t20,421,361,104.4
64,6,20,o20,t20,361,341,104.4
65,6,20,o20,t20,341,321,104.4
66,6,60,t20,t20,321,261,104.4
67,6,60,t20,t20,261,201,104.4
68,6,60,t20,t20,201,141,104.4
69,6,25,obull,ibull,141,116,104.4
70,6,60,t20,t20,116,56,104.4
71,6,20,o20,o20,56,36,104.4
72,6,0,m18,d18,36,36,104.4
73,6,18,o18,d18,36,18,104.4
74,6,18,d9,d9,18,0,104.4
75,7,20,o20,t20,501,481,104.4
76,7,20,o20,t20,481,461,104.4
77,7,20,o20,t20,461,441,104.4
78,7,60,t20,t20,441,381,104.4
79,7,60,t20,t20,381,321,104.4
80,7,60,t20,t20,321,261,104.4
81,7,20,i20,t20,261,241,104.4
82,7,17,i17,t17,241,224,104.4
83,7,18,o18,t18,224,206,104.4
84,7,60,t20,t20,206,146,104.4
85,7,3,t1,t20,146,143,104.4
