number,leg,dartScore,bed,aimedat,sB4Dart,sAfDart,average
1,1,60,t20,t20,501,441,105.94
2,1,20,i20,t20,441,421,105.94
4,1,5,o5,t20,404,399,105.94
5,1,60,t20,t20,399,339,105.94
6,1,60,t20,t20,339,279,105.94
7,1,60,t20,t20,279,219,105.94
8,1,20,i20,t20,219,199,105.94
16,2,20,i20,t20,501,481,105.94
19,2,60,t20,t20,367,307,105.94
20,2,60,t20,t20,307,247,105.94
21,2,20,o20,t20,247,227,105.94
22,2,60,t20,t20,227,167,105.94
28,3,60,t20,t20,501,441,105.94
29,3,60,t20,t20,441,381,105.94
30,3,20,i20,t20,381,361,105.94
31,3,60,t20,t20,361,301,105.94
32,3,60,t20,t20,301,241,105.94
33,3,60,t20,t20,241,181,105.94
34,3,20,o20,t20,181,161,105.94
42,4,60,t20,t20,501,441,105.94
43,4,60,t20,t20,441,381,105.94
45,4,60,t20,t20,324,264,105.94
46,4,60,t20,t20,264,204,105.94
47,4,60,t20,t20,204,144,105.94
51,5,60,t20,t20,501,441,105.94
52,5,20,i20,t20,441,421,105.94
53,5,60,t20,t20,421,361,105.94
54,5,20,o20,t20,361,341,105.94
55,5,60,t20,t20,341,281,105.94
56,5,60,t20,t20,281,221,105.94
57,5,20,o20,t20,221,201,105.94
58,5,60,t20,t20,201,141,105.94
64,6,60,t20,t20,501,441,105.94
65,6,15,t5,t20,441,426,105.94
66,6,5,i5,t20,426,421,105.94
67,6,60,t20,t20,421,361,105.94
68,6,20,i20,t20,361,341,105.94
70,6,60,t20,t20,284,224,105.94
71,6,60,t20,t20,224,164,105.94
76,7,20,i20,t20,501,481,105.94
79,7,60,t20,t20,409,349,105.94
80,7,20,i20,t20,349,329,105.94
82,7,20,i20,t20,272,252,105.94
85,7,60,t20,t20,176,116,105.94
89,8,20,i20,t20,501,481,105.94
90,8,60,t20,t20,481,421,105.94
92,8,60,t20,t20,402,342,105.94
93,8,3,t1,t20,342,339,105.94
94,8,60,t20,t20,339,279,105.94
95,8,20,i20,t20,279,259,105.94
98,8,15,t5,t20,221,206,105.94
99,8,60,t20,t20,206,146,105.94
104,9,20,o20,t20,501,481,105.94
105,9,60,t20,t20,481,421,105.94
106,9,60,t20,t20,421,361,105.94
107,9,20,o20,t20,361,341,105.94
108,9,20,i20,t20,341,321,105.94
109,9,20,o20,t20,321,301,105.94
110,9,20,i20,t20,301,281,105.94
111,9,20,i20,t20,281,261,105.94
113,9,20,i20,t20,258,238,105.94
115,9,0,bounceout,t20,184,184,105.94
116,9,20,i20,t20,184,164,105.94
119,10,20,i20,t20,501,481,105.94
122,10,20,o20,t20,406,386,105.94
123,10,20,o20,t20,386,366,105.94
124,10,20,i20,t20,366,346,105.94
125,10,20,i20,t20,346,326,105.94
128,10,20,i20,t20,250,230,105.94
129,10,20,i20,t20,230,210,105.94
130,10,60,t20,t20,210,150,105.94
134,11,20,o20,t20,501,481,105.94
135,11,20,i20,t20,481,461,105.94
136,11,20,o20,t20,461,441,105.94
137,11,1,i1,t20,441,440,105.94
140,11,60,t20,t20,364,304,105.94
141,11,20,i20,t20,304,284,105.94
143,11,60,t20,t20,227,167,105.94
149,12,60,t20,t20,501,441,105.94
150,12,20,i20,t20,441,421,105.94
152,12,60,t20,t20,402,342,105.94
153,12,20,i20,t20,342,322,105.94
154,12,60,t20,t20,322,262,105.94
155,12,20,o20,t20,262,242,105.94
156,12,3,t1,t20,242,239,105.94
158,12,60,t20,t20,220,160,105.94
