number,leg,dartScore,bed,aimedat,sB4Dart,sAfDart,average
1,1,20,o20,t20,501,481,97.26
2,1,60,t20,t20,481,421,97.26
3,1,20,o20,t20,421,401,97.26
4,1,20,o20,t20,401,381,97.26
5,1,20,o20,t20,381,361,97.26
6,1,60,t20,t20,361,301,97.26
7,1,60,t20,t20,301,241,97.26
8,1,60,t20,t20,241,181,97.26
9,1,60,t20,t20,181,121,97.26
13,2,20,i20,t20,501,481,97.26
14,2,20,o20,t20,481,461,97.26
15,2,20,o20,t20,461,441,97.26
16,2,60,t20,t20,441,381,97.26
17,2,20,i20,t20,381,361,97.26
18,2,20,i20,t20,361,341,97.26
19,2,60,t20,t20,341,281,97.26
20,2,3,t1,t20,281,278,97.26
21,2,60,t20,t20,278,218,97.26
22,2,20,o20,t20,218,198,97.26
23,2,60,t20,t20,198,138,97.26
28,3,60,t20,t20,501,441,97.26
29,3,60,t20,t20,441,381,97.26
30,3,60,t20,t20,381,321,97.26
31,3,20,i20,t20,321,301,97.26
34,3,60,t20,t20,263,203,97.26
35,3,60,t20,t20,203,143,97.26
42,4,20,o20,t20,501,481,97.26
43,4,20,i20,t20,481,461,97.26
44,4,20,o20,t20,461,441,97.26
45,4,60,t20,t20,441,381,97.26
46,4,20,o20,t20,381,361,97.26
47,4,60,t20,t20,361,301,97.26
48,4,60,t20,t20,301,241,97.26
49,4,20,o20,t20,241,221,97.26
50,4,20,o20,t20,221,201,97.26
51,4,5,i5,t20,201,196,97.26
52,4,60,t20,t20,196,136,97.26
58,5,5,i5,t20,501,496,97.26
59,5,60,t20,t20,496,436,97.26
60,5,60,t20,t20,436,376,97.26
61,5,20,o20,t20,376,356,97.26
62,5,20,o20,t20,356,336,97.26
63,5,20,o20,t20,336,316,97.26
64,5,20,i20,t20,316,296,97.26
67,5,20,o20,t20,220,200,97.26
68,5,20,i20,t20,200,180,97.26
69,5,20,i20,t20,180,160,97.26
76,6,20,i20,t20,501,481,97.26
77,6,15,t5,t20,481,466,97.26
78,6,60,t20,t20,466,406,97.26
79,6,20,o20,t20,406,386,97.26
80,6,60,t20,t20,386,326,97.26
81,6,60,t20,t20,326,266,97.26
82,6,20,o20,t20,266,246,97.26
91,7,20,o20,t20,501,481,97.26
92,7,20,i20,t20,481,461,97.26
93,7,60,t20,t20,461,401,97.26
94,7,60,t20,t20,401,341,97.26
95,7,60,t20,t20,341,281,97.26
96,7,20,o20,t20,281,261,97.26
97,7,60,t20,t20,261,201,97.26
98,7,20,o20,t20,201,181,97.26
99,7,20,i20,t20,181,161,97.26
106,8,20,o20,t20,501,481,97.26
107,8,60,t20,t20,481,421,97.26
108,8,20,i20,t20,421,401,97.26
109,8,60,t20,t20,401,341,97.26
110,8,20,o20,t20,341,321,97.26
111,8,20,i20,t20,321,301,97.26
112,8,60,t20,t20,301,241,97.26
113,8,60,t20,t20,241,181,97.26
114,8,20,o20,t20,181,161,97.26
121,9,20,o20,t20,501,481,97.26
122,9,20,o20,t20,481,461,97.26
123,9,60,t20,t20,461,401,97.26
124,9,20,o20,t20,401,381,97.26
125,9,20,i20,t20,381,361,97.26
126,9,20,i20,t20,361,341,97.26
127,9,20,i20,t20,341,321,97.26
130,9,20,i20,t20,207,187,97.26
131,9,60,t20,t20,187,127,97.26
133,10,1,i1,t20,501,500,97.26
136,10,20,i20,t20,386,366,97.26
139,10,20,o20,t20,328,308,97.26
140,10,20,o20,t20,308,288,97.26
141,10,60,t20,t20,288,228,97.26
142,10,60,t20,t20,228,168,97.26
