number,leg,dartScore,bed,aimedat,sB4Dart,sAfDart,average
1,1,60,t20,t20,501,441,32.89
2,1,20,o20,t20,441,421,
3,1,20,i20,t20,421,401,
4,1,3,t1,t20,401,398,
5,1,3,t1,t20,398,395,
6,1,12,o12,t20,395,383,
7,1,1,i1,t20,383,382,
8,1,5,i5,t20,382,377,
9,1,60,t20,t20,377,317,
10,1,20,i20,t20,317,297,
11,1,20,i20,t20,297,277,
12,1,1,o1,t20,277,276,
13,1,5,i5,t20,276,271,
14,1,5,o5,t20,271,266,
16,1,3,t1,t20,247,244,
17,1,20,i20,t20,244,224,
18,1,60,t20,t20,224,164,
36,2,1,o1,t20,501,500,
37,2,5,i5,t20,500,495,
38,2,9,i9,t20,495,486,
39,2,1,o1,t20,486,485,
40,2,60,t20,t20,485,425,
41,2,5,o5,t20,425,420,
42,2,12,i12,t20,420,408,
43,2,60,t20,t20,408,348,
44,2,20,o20,t20,348,328,
45,2,5,i5,t20,328,323,
46,2,20,i20,t20,323,303,
47,2,5,i5,t20,303,298,
48,2,5,i5,t20,298,293,
49,2,5,o5,t20,293,288,
50,2,60,t20,t20,288,228,
51,2,14,i14,t20,228,214,
54,2,11,i11,t20,181,170,
72,3,20,o20,t20,501,481,
75,3,5,i5,t20,455,450,
76,3,12,i12,t20,450,438,
77,3,12,i12,t20,438,426,
78,3,5,i5,t20,426,421,
79,3,20,i20,t20,421,401,
80,3,5,o5,t20,401,396,
81,3,20,o20,t20,396,376,
82,3,1,i1,t20,376,375,
83,3,18,i18,t20,375,357,
84,3,60,t20,t20,357,297,
85,3,20,o20,t20,297,277,
86,3,0,bounceout,t20,277,277,
87,3,20,i20,t20,277,257,
88,3,20,i20,t20,257,237,
89,3,20,o20,t20,237,217,
90,3,1,i1,t20,217,216,
91,3,5,o5,t20,216,211,
92,3,9,i9,t20,211,202,
93,3,20,i20,t20,202,182,
94,3,60,t20,t20,182,122,
112,4,20,i20,t20,501,481,
113,4,1,i1,t20,481,480,
114,4,9,i9,t20,480,471,
115,4,12,i12,t20,471,459,
116,4,20,o20,t20,459,439,
117,4,36,t12,t20,439,403,
118,4,12,i12,t20,403,391,
119,4,12,i12,t20,391,379,
120,4,20,i20,t20,379,359,
121,4,4,i4,t20,359,355,
122,4,20,i20,t20,355,335,
123,4,1,o1,t20,335,334,
124,4,20,i20,t20,334,314,
125,4,1,o1,t20,314,313,
126,4,5,i5,t20,313,308,
127,4,3,t1,t20,308,305,
130,4,60,t20,t20,267,207,
131,4,20,i20,t20,207,187,
132,4,20,o20,t20,187,167,
144,5,12,i12,t20,501,489,
145,5,3,t1,t20,489,486,
146,5,1,o1,t20,486,485,
147,5,1,i1,t20,485,484,
148,5,5,i5,t20,484,479,
149,5,60,t20,t20,479,419,
150,5,60,t20,t20,419,359,
151,5,20,i20,t20,359,339,
152,5,20,o20,t20,339,319,
153,5,20,i20,t20,319,299,
154,5,1,i1,t20,299,298,
155,5,20,o20,t20,298,278,
156,5,1,i1,t20,278,277,
157,5,5,i5,t20,277,272,
158,5,5,i5,t20,272,267,
159,5,5,i5,t20,267,262,
160,5,1,i1,t20,262,261,
161,5,5,i5,t20,261,256,
162,5,1,i1,t20,256,255,
163,5,5,i5,t20,255,250,
164,5,12,i12,t20,250,238,
165,5,20,o20,t20,238,218,
166,5,1,i1,t20,218,217,
167,5,20,i20,t20,217,197,
168,5,8,i8,t20,197,189,
169,5,60,t20,t20,189,129,
194,6,18,o18,t20,501,483,
195,6,3,t1,t20,483,480,
196,6,2,d1,t20,480,478,
197,6,11,i11,t20,478,467,
198,6,3,t1,t20,467,464,
199,6,1,o1,t20,464,463,
200,6,12,i12,t20,463,451,
201,6,20,i20,t20,451,431,
202,6,20,o20,t20,431,411,
203,6,20,i20,t20,411,391,
204,6,1,i1,t20,391,390,
205,6,1,o1,t20,390,389,
206,6,18,i18,t20,389,371,
207,6,20,i20,t20,371,351,
208,6,20,o20,t20,351,331,
209,6,1,o1,t20,331,330,
210,6,20,i20,t20,330,310,
211,6,12,o12,t20,310,298,
212,6,9,i9,t20,298,289,
213,6,1,o1,t20,289,288,
214,6,1,o1,t20,288,287,
215,6,5,i5,t20,287,282,
216,6,60,t20,t20,282,222,
217,6,12,o12,t20,222,210,
218,6,1,o1,t20,210,209,
219,6,5,i5,t20,209,204,
220,6,1,o1,t20,204,203,
221,6,5,i5,t20,203,198,
