number,leg,dartScore,bed,aimedat,sB4Dart,sAfDart,average
1,1,60,t20,t20,501,441,94.46
2,1,60,t20,t20,441,381,94.46
3,1,60,t20,t20,381,321,94.46
4,1,60,t20,t20,321,261,94.46
5,1,1,i1,t20,261,260,94.46
6,1,1,i1,t20,260,259,94.46
7,1,20,i20,t20,259,239,94.46
9,1,60,t20,t20,220,160,94.46
16,2,20,o20,t20,501,481,94.46
17,2,60,t20,t20,481,421,94.46
18,2,20,i20,t20,421,401,94.46
19,2,60,t20,t20,401,341,94.46
20,2,60,t20,t20,341,281,94.46
21,2,60,t20,t20,281,221,94.46
22,2,20,i20,t20,221,201,94.46
30,3,20,o20,t20,501,481,94.46
31,3,60,t20,t20,481,421,94.46
32,3,20,o20,t20,421,401,94.46
33,3,60,t20,t20,401,341,94.46
39,3,60,t20,t20,208,148,94.46
45,4,20,o20,t20,501,481,94.46
46,4,20,o20,t20,481,461,94.46
48,4,20,i20,t20,442,422,94.46
52,4,60,t20,t20,290,230,94.46
53,4,60,t20,t20,230,170,94.46
60,5,20,i20,t20,501,481,94.46
63,5,20,i20,t20,367,347,94.46
66,5,5,o5,t20,281,276,94.46
67,5,20,i20,t20,276,256,94.46
69,5,20,i20,t20,237,217,94.46
70,5,60,t20,t20,217,157,94.46
78,6,20,o20,t20,501,481,94.46
79,6,60,t20,t20,481,421,94.46
80,6,60,t20,t20,421,361,94.46
81,6,60,t20,t20,361,301,94.46
82,6,60,t20,t20,301,241,94.46
83,6,60,t20,t20,241,181,94.46
84,6,20,i20,t20,181,161,94.46
90,7,20,i20,t20,501,481,94.46
93,7,60,t20,t20,405,345,94.46
94,7,20,i20,t20,345,325,94.46
96,7,20,o20,t20,318,298,94.46
97,7,20,o20,t20,298,278,94.46
98,7,20,o20,t20,278,258,94.46
99,7,5,o5,t20,258,253,94.46
100,7,20,i20,t20,253,233,94.46
102,7,60,t20,t20,230,170,94.46
105,8,20,o20,t20,501,481,94.46
106,8,60,t20,t20,481,421,94.46
107,8,60,t20,t20,421,361,94.46
108,8,20,i20,t20,361,341,94.46
113,8,1,o1,t20,265,264,94.46
114,8,20,o20,t20,264,244,94.46
115,8,60,t20,t20,244,184,94.46
116,8,20,o20,t20,184,164,94.46
117,9,20,o20,t20,501,481,94.46
118,9,20,i20,t20,481,461,94.46
119,9,20,i20,t20,461,441,94.46
120,9,60,t20,t20,441,381,94.46
121,9,20,i20,t20,381,361,94.46
122,9,60,t20,t20,361,301,94.46
123,9,60,t20,t20,301,241,94.46
124,9,20,i20,t20,241,221,94.46
126,9,60,t20,t20,204,144,94.46
132,10,60,t20,t20,501,441,94.46
133,10,60,t20,t20,441,381,94.46
134,10,60,t20,t20,381,321,94.46
135,10,20,i20,t20,321,301,94.46
138,10,20,i20,t20,187,167,94.46
