number,leg,dartScore,bed,aimedat,sB4Dart,sAfDart,average
1,1,60,t20,t20,501,441,105.94
2,1,20,s20,t20,441,421,105.94
3,1,5,s5,t20,404,399,105.94
4,1,60,t20,t20,399,339,105.94
5,1,60,t20,t20,339,279,105.94
6,1,60,t20,t20,279,219,105.94
7,1,20,s20,t20,219,199,105.94
8,2,20,s20,t20,501,481,105.94
9,2,60,t20,t20,367,307,105.94
10,2,60,t20,t20,307,247,105.94
11,2,20,s20,t20,247,227,105.94
12,2,60,t20,t20,227,167,105.94
13,3,60,t20,t20,501,441,105.94
14,3,60,t20,t20,441,381,105.94
15,3,20,s20,t20,381,361,105.94
16,3,60,t20,t20,361,301,105.94
17,3,60,t20,t20,301,241,105.94
18,3,60,t20,t20,241,181,105.94
19,3,20,s20,t20,181,161,105.94
20,4,60,t20,t20,501,441,105.94
21,4,60,t20,t20,441,381,105.94
22,4,60,t20,t20,324,264,105.94
23,4,60,t20,t20,264,204,105.94
24,4,60,t20,t20,204,144,105.94
25,5,60,t20,t20,501,441,105.94
26,5,20,s20,t20,441,421,105.94
27,5,60,t20,t20,421,361,105.94
28,5,20,s20,t20,361,341,105.94
29,5,60,t20,t20,341,281,105.94
30,5,60,t20,t20,281,221,105.94
31,5,20,s20,t20,221,201,105.94
32,5,60,t20,t20,201,141,105.94
33,6,60,t20,t20,501,441,105.94
34,6,15,t5,t20,441,426,105.94
35,6,5,s5,t20,426,421,105.94
36,6,60,t20,t20,421,361,105.94
37,6,20,s20,t20,361,341,105.94
38,6,60,t20,t20,284,224,105.94
39,6,60,t20,t20,224,164,105.94
40,7,20,s20,t20,501,481,105.94
41,7,60,t20,t20,409,349,105.94
42,7,20,s20,t20,349,329,105.94
43,7,20,s20,t20,272,252,105.94
44,7,60,t20,t20,176,116,105.94
45,8,20,s20,t20,501,481,105.94
46,8,60,t20,t20,481,421,105.94
47,8,60,t20,t20,402,342,105.94
48,8,3,t1,t20,342,339,105.94
49,8,60,t20,t20,339,279,105.94
50,8,20,s20,t20,279,259,105.94
51,8,15,t5,t20,221,206,105.94
52,8,60,t20,t20,206,146,105.94
53,9,20,s20,t20,501,481,105.94
54,9,60,t20,t20,481,421,105.94
55,9,60,t20,t20,421,361,105.94
56,9,20,s20,t20,361,341,105.94
57,9,20,s20,t20,341,321,105.94
58,9,20,s20,t20,321,301,105.94
59,9,20,s20,t20,301,281,105.94
60,9,20,s20,t20,281,261,105.94
61,9,20,s20,t20,258,238,105.94
62,9,20,s20,t20,184,164,105.94
63,10,20,s20,t20,501,481,105.94
64,10,20,s20,t20,406,386,105.94
65,10,20,s20,t20,386,366,105.94
66,10,20,s20,t20,366,346,105.94
67,10,20,s20,t20,346,326,105.94
68,10,20,s20,t20,250,230,105.94
69,10,20,s20,t20,230,210,105.94
70,10,60,t20,t20,210,150,105.94
71,11,20,s20,t20,501,481,105.94
72,11,20,s20,t20,481,461,105.94
73,11,20,s20,t20,461,441,105.94
74,11,1,s1,t20,441,440,105.94
75,11,60,t20,t20,364,304,105.94
76,11,20,s20,t20,304,284,105.94
77,11,60,t20,t20,227,167,105.94
78,12,60,t20,t20,501,441,105.94
79,12,20,s20,t20,441,421,105.94
80,12,60,t20,t20,402,342,105.94
81,12,20,s20,t20,342,322,105.94
82,12,60,t20,t20,322,262,105.94
83,12,20,s20,t20,262,242,105.94
84,12,3,t1,t20,242,239,105.94
85,12,60,t20,t20,220,160,105.94
