average_level,avg_rep,total,best_sequence,best_success_prob,safest_sequence
30-39,34.5,2,d1,0.3617669459253618,d1
30-39,34.5,3,o1|d1,0.21103071845646107,o1|d1
30-39,34.5,4,d2,0.371683093252464,d2
30-39,34.5,5,o1|d2,0.216815137730604,o1|d2
30-39,34.5,6,d3,0.3004136504653568,d3
30-39,34.5,7,o1|d3,0.17524129610479147,o1|d3
30-39,34.5,8,d4,0.41728975888431485,d4
30-39,34.5,9,o1|d4,0.24341902601585036,o1|d4
30-39,34.5,10,d5,0.3695914119837879,d5
30-39,34.5,11,o1|d5,0.2155949903238763,o1|d5
30-39,34.5,12,d6,0.3831504196255649,d6
30-39,34.5,13,o1|d6,0.2235044114482462,o1|d6
30-39,34.5,14,d7,0.3639686684073107,d7
30-39,34.5,15,o7|d4,0.12812970431138343,o7|d4
30-39,34.5,16,d8,0.42402304219212206,d8
30-39,34.5,17,o1|d8,0.24734677461207122,o1|d8
30-39,34.5,18,d9,0.36196808510638295,d9
30-39,34.5,19,i3|d8,0.13019717321256316,i3|d8
30-39,34.5,20,d10,0.39836475888536627,d10
30-39,34.5,21,o1|d10,0.23237944268313035,o12|o1|d4
30-39,34.5,22,d11,0.4257932446264074,d11
30-39,34.5,23,o7|d8,0.13019717321256316,o7|d8
30-39,34.5,24,d12,0.3794671864847303,d12
30-39,34.5,25,o1|d12,0.22135585878275937,o1|d12
30-39,34.5,26,d13,0.37110016420361247,d13
30-39,34.5,27,o11|d8,0.13019717321256316,o19|d4
30-39,34.5,28,d14,0.3991769547325103,d14
30-39,34.5,29,o13|d8,0.13019717321256316,o13|d8
30-39,34.5,30,d15,0.3403973509933775,d15
30-39,34.5,31,o15|d8,0.13019717321256316,o19|d6
30-39,34.5,32,d16,0.39437416435256606,d16
30-39,34.5,33,o1|d16,0.2300515958723302,o1|d16
30-39,34.5,34,o17|o1|d8,0.3069639433343532,d17
30-39,34.5,35,i3|d8|d8,0.1877366184398426,i3|d8|d8
30-39,34.5,36,d18,0.40901307596513076,d18
30-39,34.5,37,o17|d10,0.12231874297736599,o17|d10
30-39,34.5,38,d19,0.37608318890814557,d19
30-39,34.5,39,o17|d11,0.13074071761941056,o17|d11
30-39,34.5,40,d20,0.3919073182771813,d20
30-39,34.5,41,o1|d20,0.22861260232835576,o1|d20
30-39,34.5,42,o6|d18,0.12558833129051297,o6|d18
30-39,34.5,43,o7|d18,0.12558833129051297,o7|d18
30-39,34.5,44,o12|d16,0.12109342247373947,o4|d20
30-39,34.5,45,o5|o20|d10,0.13376555374688884,o5|o20|d10
30-39,34.5,46,o10|d18,0.12558833129051297,o10|d18
30-39,34.5,47,o19|d14,0.12256812943251345,o19|d14
30-39,34.5,48,i16|d8|d8,0.1878253359654764,i16|d8|d8
30-39,34.5,49,o17|d16,0.12109342247373947,o17|d16
30-39,34.5,50,ibull,0.26190283072430853,ibull
30-39,34.5,51,o19|i16|d8,0.13364537675717159,o19|i16|d8
30-39,34.5,52,o20|d16,0.2868175740745935,o20|d16
30-39,34.5,53,o17|d18,0.12558833129051297,i3|ibull
30-39,34.5,54,o18|d18,0.12558833129051297,o4|ibull
30-39,34.5,55,o15|o20|d10,0.13360297628671114,o15|o20|d10
30-39,34.5,56,o20|d18,0.29746405524736785,t16|d4
30-39,34.5,57,o17|d20,0.12033597216135744,o17|d20
30-39,34.5,58,o18|d20,0.12033597216135744,o18|d20
30-39,34.5,59,o19|d20,0.12033597216135744,t19|d1
30-39,34.5,60,o20|d20,0.2850235042015864,o20|d20
30-39,34.5,61,obull|d18,0.22006324618205222,t7|d20
30-39,34.5,62,o10|o20|d16,0.08811059699668798,o10|o20|d16
30-39,34.5,63,o13|ibull,0.08041781890056666,o13|ibull
30-39,34.5,64,t16|d8,0.17667626758005087,t16|d8
30-39,34.5,65,obull|d20,0.2108597541999654,obull|d20
30-39,34.5,66,t16|d9,0.1508200354609929,ibull|d8
30-39,34.5,67,t17|d8,0.09977012757461695,t17|d8
30-39,34.5,68,t16|d10,0.16598531620223594,t16|d10
30-39,34.5,69,t19|d6,0.12702269346282313,t19|d6
30-39,34.5,70,o20|ibull,0.19047478598131531,o20|ibull
30-39,34.5,71,t17|d10,0.09373288444361559,t17|d10
30-39,34.5,72,o20|o20|d16,0.2085945993269771,o20|o20|d16
30-39,34.5,73,t19|d8,0.14057285637891,t19|d8
30-39,34.5,74,t18|d10,0.09415894300926839,t18|d10
30-39,34.5,75,obull|ibull,0.14091282284181395,obull|ibull
30-39,34.5,76,t16|d14,0.16632373113854595,t16|d14
30-39,34.5,77,t19|d10,0.13206657767395294,t19|d10
30-39,34.5,78,d19|d20,0.1473897540141219,d19|d20
30-39,34.5,79,t19|d11,0.1411597169685372,t19|d11
30-39,34.5,80,o20|o20|d20,0.21555428404743474,o20|o20|d20
30-39,34.5,81,t19|d12,0.1258016216063508,t19|d12
30-39,34.5,82,ibull|d16,0.10328771000847074,ibull|d16
30-39,34.5,83,t17|d16,0.09279392102413318,t17|d16
30-39,34.5,84,t16|d18,0.17042211498547116,t16|d18
30-39,34.5,85,t19|d14,0.13233583825371265,t19|d14
30-39,34.5,86,ibull|d18,0.10712168239852439,ibull|d18
30-39,34.5,87,t17|d18,0.09623837081532488,t17|d18
30-39,34.5,88,t16|d20,0.16329471594882555,t16|d20
30-39,34.5,89,t19|d16,0.1307436088342746,t19|d16
30-39,34.5,90,o20|o20|ibull,0.1385271170773202,obull|obull|d20
30-39,34.5,91,t17|d20,0.09221348665345441,obull|t16|d9
30-39,34.5,92,o20|d20|d16,0.12374439027409528,obull|t17|d8
30-39,34.5,93,t19|d18,0.13559672627104877,obull|t18|d7
30-39,34.5,94,t18|d20,0.09263263886551558,obull|t19|d6
30-39,34.5,95,t19|d19,0.12467975284454826,obull|o20|ibull
30-39,34.5,96,o20|d20|d18,0.12833770128559893,o20|d20|d18
30-39,34.5,97,t19|d20,0.12992579573319596,t19|d20
30-39,34.5,98,t20|d19,0.09989709705372617,t20|d19
30-39,34.5,99,t19|i6|d18,0.04163526200392006,t19|i6|d18
30-39,34.5,100,o20|d20|d20,0.1229703579183002,o20|d20|d20
30-39,34.5,101,o20|t19|d12,0.0914920884409824,obull|d18|d20
30-39,34.5,102,o20|ibull|d16,0.0751183345516151,o20|ibull|d16
30-39,34.5,103,o20|t17|d16,0.0674864880175514,o20|t17|d16
30-39,34.5,104,o20|t16|d18,0.12394335635306993,o20|t16|d18
30-39,34.5,105,t19|i12|d18,0.04163526200392006,t19|i12|d18
30-39,34.5,106,o20|t18|d16,0.06779324478126755,o20|t18|d16
30-39,34.5,107,t19|ibull,0.08682648192490662,t19|ibull
30-39,34.5,108,o20|t16|d20,0.11875979341732766,o20|t16|d20
30-39,34.5,109,t19|o20|d16,0.09508626097038154,t19|o20|d16
30-39,34.5,110,o20|ibull|d20,0.07464846257335733,o20|ibull|d20
30-39,34.5,111,o20|t17|d20,0.06706435392978503,o20|t17|d20
30-39,34.5,112,t20|o20|d16,0.07623463033742167,t20|o20|d16
30-39,34.5,113,o20|t19|d18,0.09861580092439912,o20|t19|d18
30-39,34.5,114,o20|t18|d20,0.06736919190219315,o20|t18|d20
30-39,34.5,115,obull|ibull|d20,0.15619670670018856,obull|ibull|d20
30-39,34.5,116,t20|o20|d18,0.0790644100648999,t20|o20|d18
30-39,34.5,117,o20|t19|d20,0.0944914878059607,o20|t19|d20
30-39,34.5,118,o20|t20|d19,0.0726988871839486,o20|t20|d19
30-39,34.5,119,o19|t20|d20,0.03196424260536057,o19|t20|d20
30-39,34.5,120,t20|o20|d20,0.07575777582803715,t20|o20|d20
30-39,34.5,121,obull|t20|d18,0.05845429976710762,obull|t20|d18
30-39,34.5,122,obull|t19|d20,0.06990459242498852,obull|t19|d20
30-39,34.5,123,t19|t16|d9,0.05000012045174221,t19|t16|d9
30-39,34.5,124,o20|t18|ibull,0.04502131305012907,o20|t18|ibull
30-39,34.5,125,ibull|obull|ibull,0.1043827398131438,ibull|obull|ibull
30-39,34.5,126,t19|t19|d6,0.04211078424582723,t19|t19|d6
30-39,34.5,127,o20|t19|ibull,0.063146532309023,o20|t19|ibull
30-39,34.5,128,t20|t16|d10,0.04409094539946363,t20|t16|d10
30-39,34.5,129,t19|d18|d18,0.05546083410292351,t19|d18|d18
30-39,34.5,130,t20|o20|ibull,0.05062721468423208,t20|o20|ibull
30-39,34.5,131,t17|d20|d20,0.036139140263343965,t17|d20|d20
