bin,double,hit_double,miss_inside,miss_outside,neighbor_singledouble,other,samples
30-39,d1,0.05714285714285714,0.2857142857142857,0.2571428571428571,0.0,0.4,35
30-39,d2,0.0,0.13793103448275862,0.5862068965517241,0.0,0.27586206896551724,29
30-39,d3,0.28977552456793865,0.2367414918106871,0.02,0.0,0.4534829836213743,8
30-39,d4,0.0,0.07692307692307693,0.5384615384615384,0.0,0.38461538461538464,13
30-39,d5,0.03571428571428571,0.21428571428571427,0.6071428571428571,0.0,0.14285714285714285,28
30-39,d6,0.28977552456793865,0.2367414918106871,0.02,0.0,0.4534829836213743,0
30-39,d7,0.28977552456793865,0.2367414918106871,0.02,0.0,0.4534829836213743,5
30-39,d8,0.2222222222222222,0.2777777777777778,0.35333333333333333,0.0,0.14666666666666672,6
30-39,d9,0.28977552456793865,0.2367414918106871,0.02,0.0,0.4534829836213743,0
30-39,d10,0.08333333333333333,0.08333333333333333,0.5833333333333334,0.0,0.25,12
30-39,d11,0.28977552456793865,0.2367414918106871,0.02,0.0,0.4534829836213743,2
30-39,d12,0.28977552456793865,0.2367414918106871,0.02,0.0,0.4534829836213743,2
30-39,d13,0.28977552456793865,0.2367414918106871,0.02,0.0,0.4534829836213743,0
30-39,d14,0.28977552456793865,0.2367414918106871,0.02,0.0,0.4534829836213743,4
30-39,d15,0.28977552456793865,0.2367414918106871,0.02,0.0,0.4534829836213743,3
30-39,d16,0.3333333333333333,0.4166666666666667,0.27,0.0,0.0,0
30-39,d17,0.28977552456793865,0.2367414918106871,0.02,0.0,0.4534829836213743,3
30-39,d18,0.28977552456793865,0.2367414918106871,0.02,0.0,0.4534829836213743,0
30-39,d19,0.28977552456793865,0.2367414918106871,0.02,0.0,0.4534829836213743,2
30-39,d20,0.15,0.15,0.3,0.0,0.4,20
30-39,ibull,0.21875,0.4375,0.02,0.34375,0.0,7
40-49,d1,0.05714285714285714,0.2857142857142857,0.2771428571428572,0.0,0.3799999999999999,0
40-49,d2,0.03125,0.125,0.5825,0.0,0.26125,0
40-49,d3,0.31618253138041097,0.22793915620652969,0.02,0.0,0.4358783124130593,0
40-49,d4,0.15,0.15,0.47000000000000003,0.0,0.22999999999999998,0
40-49,d5,0.125,0.1875,0.5825,0.0,0.10499999999999998,0
40-49,d6,0.31618253138041097,0.22793915620652969,0.02,0.0,0.4358783124130593,0
40-49,d7,0.31618253138041097,0.22793915620652969,0.02,0.0,0.4358783124130593,0
40-49,d8,0.2222222222222222,0.2777777777777778,0.35333333333333333,0.0,0.14666666666666672,0
40-49,d9,0.31618253138041097,0.22793915620652969,0.02,0.0,0.4358783124130593,0
40-49,d10,0.17391304347826086,0.21739130434782608,0.4982608695652174,0.0,0.11043478260869566,0
40-49,d11,0.31618253138041097,0.22793915620652969,0.02,0.0,0.4358783124130593,0
40-49,d12,0.31618253138041097,0.22793915620652969,0.02,0.0,0.4358783124130593,0
40-49,d13,0.31618253138041097,0.22793915620652969,0.02,0.0,0.4358783124130593,0
40-49,d14,0.31618253138041097,0.22793915620652969,0.02,0.0,0.4358783124130593,0
40-49,d15,0.31618253138041097,0.22793915620652969,0.02,0.0,0.4358783124130593,0
40-49,d16,0.3333333333333333,0.4166666666666667,0.27,0.0,0.0,0
40-49,d17,0.31618253138041097,0.22793915620652969,0.02,0.0,0.4358783124130593,0
40-49,d18,0.31618253138041097,0.22793915620652969,0.02,0.0,0.4358783124130593,0
40-49,d19,0.31618253138041097,0.22793915620652969,0.02,0.0,0.4358783124130593,0
40-49,d20,0.31666666666666665,0.23333333333333334,0.33666666666666667,0.0,0.11333333333333329,0
40-49,ibull,0.21875,0.4375,0.02,0.34375,0.0,0
50-59,d1,0.05714285714285714,0.2857142857142857,0.2771428571428572,0.0,0.3799999999999999,0
50-59,d2,0.03125,0.125,0.5825,0.0,0.26125,0
50-59,d3,0.3425895381928832,0.21913682060237227,0.02,0.0,0.41827364120474453,0
50-59,d4,0.15,0.15,0.47000000000000003,0.0,0.22999999999999998,0
50-59,d5,0.125,0.1875,0.5825,0.0,0.10499999999999998,0
50-59,d6,0.3425895381928832,0.21913682060237227,0.02,0.0,0.41827364120474453,0
50-59,d7,0.3425895381928832,0.21913682060237227,0.02,0.0,0.41827364120474453,0
50-59,d8,0.2222222222222222,0.2777777777777778,0.35333333333333333,0.0,0.14666666666666672,0
50-59,d9,0.3425895381928832,0.21913682060237227,0.02,0.0,0.41827364120474453,0
50-59,d10,0.17391304347826086,0.21739130434782608,0.4982608695652174,0.0,0.11043478260869566,0
50-59,d11,0.3425895381928832,0.21913682060237227,0.02,0.0,0.41827364120474453,0
50-59,d12,0.3425895381928832,0.21913682060237227,0.02,0.0,0.41827364120474453,0
50-59,d13,0.3425895381928832,0.21913682060237227,0.02,0.0,0.41827364120474453,0
50-59,d14,0.3425895381928832,0.21913682060237227,0.02,0.0,0.41827364120474453,0
50-59,d15,0.3425895381928832,0.21913682060237227,0.02,0.0,0.41827364120474453,0
50-59,d16,0.3333333333333333,0.4166666666666667,0.27,0.0,0.0,0
50-59,d17,0.3425895381928832,0.21913682060237227,0.02,0.0,0.41827364120474453,0
50-59,d18,0.3425895381928832,0.21913682060237227,0.02,0.0,0.41827364120474453,0
50-59,d19,0.3425895381928832,0.21913682060237227,0.02,0.0,0.41827364120474453,0
50-59,d20,0.31666666666666665,0.23333333333333334,0.33666666666666667,0.0,0.11333333333333329,0
50-59,ibull,0.21875,0.4375,0.02,0.34375,0.0,0
60-69,d1,0.05714285714285714,0.2857142857142857,0.2771428571428572,0.0,0.3799999999999999,0
60-69,d2,0.03125,0.125,0.5825,0.0,0.26125,0
60-69,d3,0.36899654500535545,0.21033448499821483,0.02,0.0,0.40066896999642965,0
