number,leg,dartScore,bed,aimedat,sB4Dart,sAfDart,average
1,1,20,i20,t20,501,481,87.29
2,1,20,i20,t20,481,461,
3,1,60,t20,t20,461,401,
4,1,20,o20,t20,401,381,
5,1,20,o20,t20,381,361,
6,1,20,i20,t20,361,341,
7,1,60,t20,t20,341,281,
8,1,60,t20,t20,281,221,
9,1,20,o20,t20,221,201,
10,1,60,t20,t20,201,141,
19,2,60,t20,t20,501,441,
20,2,60,t20,t20,441,381,
21,2,60,t20,t20,381,321,
22,2,20,o20,t20,321,301,
23,2,20,o20,t20,301,281,
24,2,20,i20,t20,281,261,
25,2,20,o20,t20,261,241,
26,2,20,i20,t20,241,221,
27,2,20,i20,t20,221,201,
28,2,60,t20,t20,201,141,
31,3,20,i20,t20,501,481,
32,3,20,o20,t20,481,461,
33,3,20,i20,t20,461,441,
34,3,60,t20,t20,441,381,
35,3,3,t1,t20,381,378,
36,3,60,t20,t20,378,318,
37,3,20,i20,t20,318,298,
40,3,60,t20,t20,222,162,
45,4,20,i20,t20,501,481,
48,4,20,o20,t20,453,433,
49,4,20,i20,t20,433,413,
51,4,5,i5,t20,356,351,
52,4,20,o20,t20,351,331,
53,4,60,t20,t20,331,271,
54,4,20,i20,t20,271,251,
57,4,20,i20,t20,188,168,
60,5,20,o20,t20,501,481,
61,5,20,o20,t20,481,461,
62,5,20,o20,t20,461,441,
63,5,20,i20,t20,441,421,
66,5,60,t20,t20,348,288,
67,5,60,t20,t20,288,228,
68,5,60,t20,t20,228,168,
78,6,60,t20,t20,501,441,
79,6,1,i1,t20,441,440,
81,6,60,t20,t20,383,323,
82,6,60,t20,t20,323,263,
83,6,60,t20,t20,263,203,
84,6,20,i20,t20,203,183,
90,7,60,t20,t20,501,441,
91,7,20,i20,t20,441,421,
93,7,20,o20,t20,402,382,
94,7,20,o20,t20,382,362,
95,7,20,i20,t20,362,342,
96,7,60,t20,t20,342,282,
97,7,1,o1,t20,282,281,
98,7,20,i20,t20,281,261,
99,7,60,t20,t20,261,201,
100,7,20,o20,t20,201,181,
101,7,15,t5,t20,181,166,
105,8,20,o20,t20,501,481,
106,8,20,i20,t20,481,461,
107,8,20,i20,t20,461,441,
108,8,60,t20,t20,441,381,
109,8,60,t20,t20,381,321,
110,8,20,i20,t20,321,301,
111,8,20,o20,t20,301,281,
112,8,20,o20,t20,281,261,
114,8,20,i20,t20,242,222,
120,9,20,o20,t20,501,481,
121,9,60,t20,t20,481,421,
122,9,60,t20,t20,421,361,
123,9,20,o20,t20,361,341,
124,9,20,o20,t20,341,321,
125,9,20,o20,t20,321,301,
126,9,20,o20,t20,301,281,
127,9,20,o20,t20,281,261,
128,9,20,o20,t20,261,241,
129,9,60,t20,t20,241,181,
130,9,20,o20,t20,181,161,
140,10,20,o20,t20,501,481,
141,10,60,t20,t20,481,421,
142,10,60,t20,t20,421,361,
143,10,60,t20,t20,361,301,
144,10,20,i20,t20,301,281,
146,10,20,o20,t20,262,242,
147,10,60,t20,t20,242,182,
153,11,20,o20,t20,501,481,
154,11,20,o20,t20,481,461,
