number,leg,dartScore,bed,aimedat,sB4Dart,sAfDart,average
1,1,60,t20,t20,501,441,94.46
2,1,60,t20,t20,441,381,94.46
3,1,60,t20,t20,381,321,94.46
4,1,60,t20,t20,321,261,94.46
5,1,1,i1,t20,261,260,94.46
6,1,1,i1,t20,260,259,94.46
7,1,20,i20,t20,259,239,94.46
8,1,60,t20,t20,220,160,94.46
9,2,20,o20,t20,501,481,94.46
10,2,60,t20,t20,481,421,94.46
11,2,20,i20,t20,421,401,94.46
12,2,60,t20,t20,401,341,94.46
13,2,60,t20,t20,341,281,94.46
14,2,60,t20,t20,281,221,94.46
15,2,20,i20,t20,221,201,94.46
16,3,20,o20,t20,501,481,94.46
17,3,60,t20,t20,481,421,94.46
18,3,20,o20,t20,421,401,94.46
19,3,60,t20,t20,401,341,94.46
20,3,60,t20,t20,208,148,94.46
21,4,20,o20,t20,501,481,94.46
22,4,20,o20,t20,481,461,94.46
23,4,20,i20,t20,442,422,94.46
24,4,60,t20,t20,290,230,94.46
25,4,60,t20,t20,230,170,94.46
26,5,20,i20,t20,501,481,94.46
27,5,20,i20,t20,367,347,94.46
28,5,5,o5,t20,281,276,94.46
29,5,20,i20,t20,276,256,94.46
30,5,20,i20,t20,237,217,94.46
31,5,60,t20,t20,217,157,94.46
32,6,20,o20,t20,501,481,94.46
33,6,60,t20,t20,481,421,94.46
34,6,60,t20,t20,421,361,94.46
35,6,60,t20,t20,361,301,94.46
36,6,60,t20,t20,301,241,94.46
37,6,60,t20,t20,241,181,94.46
38,6,20,i20,t20,181,161,94.46
39,7,20,i20,t20,501,481,94.46
40,7,60,t20,t20,405,345,94.46
41,7,20,i20,t20,345,325,94.46
42,7,20,o20,t20,318,298,94.46
43,7,20,o20,t20,298,278,94.46
44,7,20,o20,t20,278,258,94.46
45,7,5,o5,t20,258,253,94.46
46,7,20,i20,t20,253,233,94.46
47,7,60,t20,t20,230,170,94.46
48,8,20,o20,t20,501,481,94.46
49,8,60,t20,t20,481,421,94.46
50,8,60,t20,t20,421,361,94.46
51,8,20,i20,t20,361,341,94.46
52,8,1,o1,t20,265,264,94.46
53,8,20,o20,t20,264,244,94.46
54,8,60,t20,t20,244,184,94.46
55,8,20,o20,t20,184,164,94.46
56,9,20,o20,t20,501,481,94.46
57,9,20,i20,t20,481,461,94.46
58,9,20,i20,t20,461,441,94.46
59,9,60,t20,t20,441,381,94.46
60,9,20,i20,t20,381,361,94.46
61,9,60,t20,t20,361,301,94.46
62,9,60,t20,t20,301,241,94.46
63,9,20,i20,t20,241,221,94.46
64,9,60,t20,t20,204,144,94.46
65,10,60,t20,t20,501,441,94.46
66,10,60,t20,t20,441,381,94.46
67,10,60,t20,t20,381,321,94.46
68,10,20,i20,t20,321,301,94.46
69,10,20,i20,t20,187,167,94.46
