number,leg,dartScore,bed,aimedat,sB4Dart,sAfDart,average
1,1,5,o5,t20,501,496,32.78
2,1,5,o5,t20,496,491,
3,1,1,o1,t20,491,490,
4,1,1,i1,t20,490,489,
5,1,5,o5,t20,489,484,
6,1,60,t20,t20,484,424,
7,1,20,o20,t20,424,404,
8,1,5,o5,t20,404,399,
9,1,1,o1,t20,399,398,
10,1,0,m20,t20,398,398,
11,1,0,m20,t20,398,398,
12,1,1,o1,t20,398,397,
13,1,60,t20,t20,397,337,
14,1,20,i20,t20,337,317,
15,1,20,o20,t20,317,297,
16,1,1,o1,t20,297,296,
17,1,60,t20,t20,296,236,
18,1,20,o20,t20,236,216,
19,1,20,o20,t20,216,196,
20,1,0,m20,t20,196,196,
21,1,20,o20,t20,196,176,
22,1,1,o1,t20,176,175,
23,1,5,o5,t20,175,170,
40,2,5,o5,t20,501,496,
41,2,5,o5,t20,496,491,
42,2,20,o20,t20,491,471,
43,2,1,i1,t20,471,470,
44,2,20,o20,t20,470,450,
45,2,1,o1,t20,450,449,
46,2,20,o20,t20,449,429,
47,2,20,o20,t20,429,409,
48,2,20,o20,t20,409,389,
49,2,20,o20,t20,389,369,
50,2,60,t20,t20,369,309,
51,2,5,o5,t20,309,304,
52,2,20,o20,t20,304,284,
53,2,20,o20,t20,284,264,
54,2,20,o20,t20,264,244,
55,2,5,i5,t20,244,239,
56,2,20,o20,t20,239,219,
57,2,20,o20,t20,219,199,
58,2,3,t1,t20,199,196,
59,2,5,o5,t20,196,191,
61,2,40,d20,t20,172,132,
73,3,20,o20,t20,501,481,
74,3,20,o20,t20,481,461,
75,3,20,o20,t20,461,441,
76,3,20,o20,t20,441,421,
77,3,60,t20,t20,421,361,
78,3,20,o20,t20,361,341,
79,3,60,t20,t20,341,281,
80,3,20,o20,t20,281,261,
81,3,20,o20,t20,261,241,
82,3,4,i4,t20,241,237,
83,3,60,t20,t20,237,177,
84,3,1,o1,t20,177,176,
85,3,1,i1,t20,176,175,
86,3,20,o20,t20,175,155,
115,4,1,i1,t20,501,500,
116,4,12,i12,t20,500,488,
117,4,20,o20,t20,488,468,
118,4,20,o20,t20,468,448,
119,4,20,i20,t20,448,428,
120,4,20,i20,t20,428,408,
121,4,5,o5,t20,408,403,
122,4,20,o20,t20,403,383,
123,4,1,i1,t20,383,382,
124,4,1,i1,t20,382,381,
125,4,60,t20,t20,381,321,
126,4,1,i1,t20,321,320,
127,4,20,o20,t20,320,300,
128,4,20,o20,t20,300,280,
129,4,1,o1,t20,280,279,
130,4,5,i5,t20,279,274,
131,4,20,i20,t20,274,254,
136,4,3,t1,t20,187,184,
137,4,20,o20,t20,184,164,
145,5,20,o20,t20,501,481,
146,5,1,o1,t20,481,480,
147,5,20,o20,t20,480,460,
148,5,20,i20,t20,460,440,
149,5,5,o5,t20,440,435,
150,5,20,i20,t20,435,415,
151,5,5,o5,t20,415,410,
152,5,20,o20,t20,410,390,
153,5,0,bounceout,t20,390,390,
154,5,20,o20,t20,390,370,
155,5,20,i20,t20,370,350,
156,5,1,i1,t20,350,349,
157,5,20,o20,t20,349,329,
158,5,20,o20,t20,329,309,
159,5,40,d20,t20,309,269,
160,5,20,o20,t20,269,249,
161,5,1,i1,t20,249,248,
162,5,20,o20,t20,248,228,
163,5,5,o5,t20,228,223,
164,5,20,o20,t20,223,203,
165,5,5,o5,t20,203,198,
166,5,5,o5,t20,198,193,
167,5,5,o5,t20,193,188,
168,5,5,i5,t20,188,183,
169,5,20,i20,t20,183,163,
200,6,0,m20,t20,501,501,
201,6,20,o20,t20,501,481,
202,6,60,t20,t20,481,421,
203,6,60,t20,t20,421,361,
204,6,5,i5,t20,361,356,
205,6,60,t20,t20,356,296,
206,6,20,i20,t20,296,276,
207,6,60,t20,t20,276,216,
208,6,12,o12,t20,216,204,
209,6,20,o20,t20,204,184,
210,6,1,i1,t20,184,183,
211,6,20,o20,t20,183,163,
264,7,5,i5,t20,501,496,
265,7,20,o20,t20,496,476,
266,7,20,i20,t20,476,456,
267,7,15,t5,t20,456,441,
268,7,20,i20,t20,441,421,
269,7,5,i5,t20,421,416,
270,7,20,o20,t20,416,396,
271,7,20,o20,t20,396,376,
272,7,10,d5,t20,376,366,
273,7,1,o1,t20,366,365,
274,7,15,t5,t20,365,350,
275,7,20,o20,t20,350,330,
276,7,20,i20,t20,330,310,
277,7,15,t5,t20,310,295,
278,7,20,o20,t20,295,275,
279,7,15,t5,t20,275,260,
280,7,20,i20,t20,260,240,
281,7,15,t5,t20,240,225,
282,7,12,o12,t20,225,213,
283,7,5,o5,t20,213,208,
284,7,1,o1,t20,208,207,
285,7,20,o20,t20,207,187,
286,7,20,i20,t20,187,167,
307,8,20,i20,t20,501,481,
308,8,1,i1,t20,481,480,
309,8,20,i20,t20,480,460,
310,8,20,o20,t20,460,440,
311,8,1,o1,t20,440,439,
312,8,5,o5,t20,439,434,
313,8,20,i20,t20,434,414,
314,8,20,i20,t20,414,394,
315,8,18,i18,t20,394,376,
316,8,5,i5,t20,376,371,
317,8,5,i5,t20,371,366,
318,8,3,t1,t20,366,363,
319,8,20,o20,t20,363,343,
320,8,60,t20,t20,343,283,
