number,leg,dartScore,bed,aimedat,sB4Dart,sAfDart,average
1,1,20,i20,t20,501,481,104.4
4,1,60,t20,t20,458,398,104.4
5,1,20,i20,t20,398,378,104.4
6,1,20,i20,t20,378,358,104.4
7,1,60,t20,t20,358,298,104.4
8,1,60,t20,t20,298,238,104.4
9,1,60,t20,t20,238,178,104.4
10,1,20,o20,t20,178,158,104.4
13,2,60,t20,t20,501,441,104.4
14,2,60,t20,t20,441,381,104.4
16,2,60,t20,t20,362,302,104.4
17,2,60,t20,t20,302,242,104.4
18,2,60,t20,t20,242,182,104.4
19,2,20,i20,t20,182,162,104.4
26,3,20,i20,t20,501,481,104.4
28,3,1,i1,t20,462,461,104.4
29,3,20,i20,t20,461,441,104.4
32,3,20,i20,t20,327,307,104.4
38,4,60,t20,t20,501,441,104.4
39,4,60,t20,t20,441,381,104.4
40,4,3,t1,t20,381,378,104.4
41,4,60,t20,t20,378,318,104.4
42,4,20,i20,t20,318,298,104.4
43,4,60,t20,t20,298,238,104.4
44,4,60,t20,t20,238,178,104.4
45,4,20,o20,t20,178,158,104.4
49,5,20,i20,t20,501,481,104.4
52,5,20,i20,t20,367,347,104.4
56,5,60,t20,t20,255,195,104.4
61,6,20,o20,t20,501,481,104.4
62,6,60,t20,t20,481,421,104.4
63,6,60,t20,t20,421,361,104.4
64,6,20,o20,t20,361,341,104.4
65,6,20,o20,t20,341,321,104.4
66,6,60,t20,t20,321,261,104.4
67,6,60,t20,t20,261,201,104.4
68,6,60,t20,t20,201,141,104.4
75,7,20,o20,t20,501,481,104.4
76,7,20,o20,t20,481,461,104.4
77,7,20,o20,t20,461,441,104.4
78,7,60,t20,t20,441,381,104.4
79,7,60,t20,t20,381,321,104.4
80,7,60,t20,t20,321,261,104.4
81,7,20,i20,t20,261,241,104.4
84,7,60,t20,t20,206,146,104.4
87,8,20,i20,t20,501,481,104.4
89,8,20,o20,t20,462,442,104.4
90,8,20,i20,t20,442,422,104.4
92,8,60,t20,t20,403,343,104.4
93,8,60,t20,t20,343,283,104.4
94,8,0,bounceout,t20,283,283,104.4
95,8,60,t20,t20,283,223,104.4
96,8,20,o20,t20,223,203,104.4
97,8,20,o20,t20,203,183,104.4
102,9,60,t20,t20,501,441,104.4
103,9,60,t20,t20,441,381,104.4
104,9,20,o20,t20,381,361,104.4
105,9,60,t20,t20,361,301,104.4
106,9,60,t20,t20,301,241,104.4
107,9,20,o20,t20,241,221,104.4
108,9,5,i5,t20,221,216,104.4
117,10,20,i20,t20,501,481,104.4
120,10,60,t20,t20,405,345,104.4
121,10,20,i20,t20,345,325,104.4
124,10,20,i20,t20,287,267,104.4
126,10,60,t20,t20,210,150,104.4
133,11,20,o20,t20,501,481,104.4
134,11,60,t20,t20,481,421,104.4
135,11,0,bounceout,t20,421,421,104.4
136,11,60,t20,t20,421,361,104.4
139,11,20,i20,t20,247,227,104.4
145,12,60,t20,t20,501,441,104.4
146,12,60,t20,t20,441,381,104.4
147,12,20,o20,t20,381,361,104.4
148,12,20,o20,t20,361,341,104.4
149,12,60,t20,t20,341,281,104.4
150,12,20,i20,t20,281,261,104.4
151,12,20,o20,t20,261,241,104.4
152,12,20,o20,t20,241,221,104.4
